Reg	Orden	Hogar	Fex_c	P49	P50	P51	P52	P52a	P53	P54	P55	P56	P57	P56n	P57a	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Llave_viv	Llave_hog	Fex_c_2011
70	02	01	835.63179663	156	48	32	1	01	2	156	32	15	1	1551	8	0	0	0	0	0	0	200601200002	20060120000201	839.545291451793
70	03	01	577.5419492	21	48	45	1	01	1							0	0	0	0	0	0	200601200013	20060120001301	579.37609308812
70	06	01	577.5419492	52	48	79	1	01	2	4	79	18	1	1810	1	400000	0	0	0	0	0	200601200013	20060120001301	579.37609308812
70	01	01	629.04587358	156	48	53	1	07	1							0	0	0	3600000	0	0	200601200015	20060120001501	627.901138217442
70	01	01	694.86300324	3	48	93	1	06	2	4	93	36	1	3611	7	720000	0	0	0	0	0	200601200018	20060120001801	695.643872271632
70	05	01	538.49171203	4	48	79	1	01	2	3	79	18	1	1810	8	426000	0	0	0	0	0	200601200021	20060120002101	540.378778893809
70	03	01	753.84191853	17	48	81	1	01	2	104	81	36	1	3611	0	0	0	0	0	0	0	200601200030	20060120003001	752.982586696866
70	03	01	748.65528374	104	48	03	1	07	2	2	62	01	1	0111	8	98	0	0	0	0	0	200601200031	20060120003101	749.974875976661
70	03	01	765.40685088	2	48	93	1	09	2	2	93	45	4	4552	8	60000	0	0	0	0	0	200601200032	20060120003201	768.174549057293
70	03	01	603.43318237	52	48	79	1	02	2	52	79	18	1	1810	6	0	0	0	0	0	0	200601200033	20060120003301	600.511042093384
70	01	01	507.73172104	52	48	53	1	01	2	52	53	55	1	5521	8	0	0	0	0	0	0	200601200034	20060120003401	502.722577479303
70	02	01	507.73172104	78	48	53	1	14	2	104	79	18	1	1810	8	0	0	0	0	0	0	200601200034	20060120003401	502.722577479303
70	03	01	507.73172104	47	48	79	1	13	2	104	97	18	1	1810	8	0	0	0	0	0	0	200601200034	20060120003401	502.722577479303
70	02	01	674.99696504	52	48	79	1	01	2	52	79	18	1	1810	8	0	0	0	0	0	0	200601200036	20060120003601	676.547702973692
70	02	01	636.30966521	52	48	45	1	01	2	52	45	52	1	5234	8	0	0	0	0	0	0	200601200041	20060120004101	635.585478789789
70	02	01	665.18088442	2	24	54	3	14	2	8	44	93	2	9303	0	0	0	0	0	0	0	200601200042	20060120004201	667.368592660096
70	01	01	727.02483136	8	48	54	3	14	2	8	54	95	3	9500	1	500000	0	0	0	0	0	200601200043	20060120004301	728.932467249523
70	04	01	727.02483136	4	48	79	1	01	2	4	45	51	1	5125	8	80000	0	0	0	0	0	200601200043	20060120004301	728.932467249523
70	06	01	570.72611984	52	48	54	3	08	2	4	54	85	4	8532	7	20000	0	0	0	0	0	200601200044	20060120004401	570.148828246593
70	01	01	658.77506987	4	48	95	1	01	2	4	95	45	1	4522	8	381500	0	0	0	0	0	200601200046	20060120004601	659.488261379594
70	02	01	765.18522113	8	48	79	1	06	2	8	79	18	1	1810	8	0	0	0	0	0	0	200601200048	20060120004801	765.631157804212
70	05	01	813.45394111	78	48	85	1	02	1							0	0	0	0	0	0	200601200052	20060120005201	817.327099442875
70	01	01	784.62554686	8	48	93	4	01	2	8	93	45	4	4552	8	0	0	0	0	0	0	200601200055	20060120005501	783.822797761334
70	03	01	784.62554686	26	48	79	1	10	2	26	79	18	1	1810	8	0	0	0	0	0	0	200601200055	20060120005501	783.822797761334
70	04	01	1013.4905832	4	48	58	1	01	2	4	58	75	4	7524	8	700000	0	0	0	0	0	200601200056	20060120005601	1026.89780109964
70	02	01	974.84887275	17	48	93	4	06	2	17	93	45	4	4552	8	0	0	0	0	0	0	200601200058	20060120005801	976.311485437367
70	02	01	616.55743402	13	24	45	1	14	2	39	57	93	1	9302	3	12000	0	0	0	0	0	200601200061	20060120006101	616.004504529027
70	02	01	659.35963696	52	48	55	1	07	1							0	0	0	0	0	0	200601200065	20060120006501	660.066742643082
70	01	01	565.31785531	52	24	54	3	14	2	4	59	85	3	8532	8	50000	0	0	0	0	0	200601200068	20060120006801	564.597726273307
70	02	01	565.31785531	3	24	45	1	14	2	3	45	52	1	5219	8	425000	0	0	0	0	0	200601200068	20060120006801	564.597726273307
70	02	01	703.22161703	13	48	99	1	10	2	13	97	63	4	6310	6	0	0	0	0	0	0	200601200072	20060120007201	704.273985289276
70	03	01	694.86300324	2	48	97	1	02	2	2	70	15	1	1530	6	380000	0	0	0	0	0	200601200075	20060120007501	695.643872271632
70	01	01	759.00103633	4	48	85	1	05	2	4	93	45	1	4552	8	100000	0	0	0	0	0	200601200077	20060120007701	760.29421777679
70	02	01	759.00103633	2	48	79	4	06	2	2	79	18	4	1810	8	360000	0	0	0	0	0	200601200077	20060120007701	760.29421777679
70	01	01	881.762865	52	48	95	1	09	2	52	95	45	1	4552	8	0	0	0	0	0	0	200601200078	20060120007801	880.374593923114
70	03	01	881.762865	4	48	85	1	09	2	4	85	52	1	5272	8	0	0	0	0	0	0	200601200078	20060120007801	880.374593923114
70	02	01	588.45285198	4	48	45	1	02	2	4	45	52	1	5234	8	0	0	0	0	0	0	200601200079	20060120007901	589.500975847013
70	02	01	523.5802484	2	48	45	1	09	2	2	95	45	1	4521	8	200000	0	0	0	0	0	200601200080	20060120008001	520.332866533478
70	03	01	812.81570184	52	48	37	1	07	1							0	0	0	0	0	0	200601200088	20060120008801	815.801976269249
70	05	01	830.12945105	52	48	45	1	01	2	17	54	95	3	9500	1	0	0	0	0	0	0	200601200092	20060120009201	833.40337582594
70	03	01	682.27300389	52	48	37	1	07	1							0	0	0	0	0	0	200601200095	20060120009501	682.426600963707
70	02	01	639.49359876	52	24	53	1	07	1							0	0	0	0	0	0	200601200101	20060120010101	640.970573345142
70	02	01	795.0889697	26	48	79	1	01	2	26	79	18	1	1810	3	0	0	0	0	0	0	200601200102	20060120010201	796.449828668828
70	02	01	765.40685088	52	48	55	1	13	1							0	0	0	0	0	0	200601200106	20060120010601	768.174549057293
70	02	01	759.00103633	78	48	97	1	14	2	78	55	80	1	8043	8	0	0	0	0	0	0	200601200117	20060120011701	760.29421777679
70	01	01	839.51313185	104	48	45	1	09	2	156	45	50	4	5030	0	0	0	0	0	0	0	200601200118	20060120011801	840.058797791082
70	04	01	634.86415293	104	48	45	1	07	1							0	0	0	0	0	0	200601200123	20060120012301	634.799173751752
70	02	01	771.59103568	17	48	33	1	01	2	43	45	52	1	5233	3	0	0	0	0	0	0	200601200126	20060120012601	773.511489084715
70	01	01	713.03769766	104	60	54	1	03	2	104	37	74	1	7494	4	0	0	0	98	0	0	200601200129	20060120012901	713.453095602872
70	04	01	544.67589684	52	56	58	1	14	2	52	87	36	1	3611	8	0	0	0	0	0	0	200601200130	20060120013001	595.453238936026
70	05	01	544.67589684	43	60	54	3	01	2	43	54	95	1	9500	0	0	0	0	98	0	0	200601200130	20060120013001	595.453238936026
