Reg	Orden	Hogar	Fex_c	P37	P37a	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	01	01	741.83945437	2				2					2												200601200001	20060120000101	740.747611135134
62	01	01	835.63179663	2				2					1		1	1							1	1	200601200002	20060120000201	839.545291451793
62	01	01	806.63151704	2				2					2												200601200003	20060120000301	810.465036241827
62	03	01	806.63151704	2				2					2												200601200003	20060120000301	810.465036241827
62	01	01	742.2718542	2				2					2												200601200004	20060120000401	743.271299483587
62	03	01	742.2718542	2				2					2												200601200004	20060120000401	743.271299483587
62	01	01	845.69731665	2				2					2												200601200005	20060120000501	845.395737818504
62	02	01	845.69731665	2				2					2												200601200005	20060120000501	845.395737818504
62	01	01	759.00103633	2				2					2												200601200007	20060120000701	760.29421777679
62	01	01	712.58973538	2				2					2												200601200008	20060120000801	714.996019872052
62	02	01	712.58973538	2				2					2												200601200008	20060120000801	714.996019872052
62	01	01	806.63151704	2				2					2												200601200009	20060120000901	810.465036241827
62	02	01	806.63151704	2				2					2												200601200009	20060120000901	810.465036241827
62	01	01	806.63151704	2				2					2												200601200010	20060120001001	810.465036241827
62	02	01	806.63151704	2				2					2												200601200010	20060120001001	810.465036241827
62	01	01	671.36506923	2				2					2												200601200011	20060120001101	672.705532687518
62	01	01	663.96170466	2				2					2												200601200012	20060120001201	662.495972099798
62	02	01	663.96170466	2				2					2												200601200012	20060120001201	662.495972099798
62	01	01	577.5419492	2				2					1				1						1	1	200601200013	20060120001301	579.37609308812
62	02	01	577.5419492	2				2					1		1		1						1	1	200601200013	20060120001301	579.37609308812
62	05	01	577.5419492	2				2					1		1		1						2	1	200601200013	20060120001301	579.37609308812
62	01	01	617.55040371	2				2					2												200601200014	20060120001401	617.19777419506
62	01	01	772.22268024	2				2					1		1					1			2	1	200601200016	20060120001601	777.40181389882
62	02	01	772.22268024	2				1	20	2	1	1			1								2	1	200601200016	20060120001601	777.40181389882
62	03	01	772.22268024	2				2					2												200601200016	20060120001601	777.40181389882
62	04	01	772.22268024	2				1	15	2	1	1		1	1								2	1	200601200016	20060120001601	777.40181389882
62	06	01	772.22268024	2				2					1	1	1					1			1	1	200601200016	20060120001601	777.40181389882
62	01	02	717.77637017	2				2					2												200601200017	20060120001702	756.82475698304
62	02	02	717.77637017	2				2					2												200601200017	20060120001702	756.82475698304
62	01	01	707.43061758	2				2					2												200601200019	20060120001901	707.684388792127
62	01	01	628.45833837	2				1	10	2	1	1			1					1			2	1	200601200020	20060120002001	626.918842471249
62	02	01	628.45833837	2				1	40	1	1	1			1								1	1	200601200020	20060120002001	626.918842471249
62	07	01	538.49171203	2				2					2												200601200021	20060120002101	540.378778893809
62	01	01	534.41655672	2				2					2												200601200022	20060120002201	531.449826101474
62	02	01	534.41655672	2				2					2												200601200022	20060120002201	531.449826101474
62	02	01	794.53691271	2				2					2												200601200023	20060120002301	904.16606363359
62	01	02	812.81570184	2				2					2												200601200023	20060120002302	904.16606363359
62	01	01	688.45718869	2				2					2												200601200024	20060120002401	687.763540991129
62	01	01	492.17195553	2				2					2												200601200025	20060120002501	485.653354822294
62	02	01	629.67751814	2				2					1		1								2	1	200601200026	20060120002601	631.791463031547
62	01	01	717.99799992	2				2					2												200601200027	20060120002701	720.547121845338
62	02	01	717.99799992	2				1	40	2	1	2													200601200027	20060120002701	720.547121845338
62	01	01	614.92865224	2				2					1		1								2	1	200601200028	20060120002801	611.214406115766
62	01	01	711.59218537	2				2					2												200601200029	20060120002901	712.666790564835
62	02	01	753.84191853	2				2					2												200601200030	20060120003001	752.982586696866
62	01	01	748.65528374	2				2					2												200601200031	20060120003101	749.974875976661
62	02	01	748.65528374	2				2					2												200601200031	20060120003101	749.974875976661
62	01	01	765.40685088	2				2					2												200601200032	20060120003201	768.174549057293
62	02	01	765.40685088	2				2					1		1					1			1	1	200601200032	20060120003201	768.174549057293
