Reg	Orden	Hogar	Fex_c	P37	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P46j	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	03	01	1026.3122078	2			2					2													200601300001	20060130000101	1056.19293697837
62	04	01	1026.3122078	2			2					2													200601300001	20060130000101	1056.19293697837
62	06	01	1026.3122078	2			2					2													200601300001	20060130000101	1056.19293697837
62	02	01	825.25798538	2			2					2													200601300002	20060130000201	842.870330010317
62	01	01	1245.1481993	2			2					2													200601300003	20060130000301	1254.19331086932
62	02	01	1245.1481993	2			2					2													200601300003	20060130000301	1254.19331086932
62	01	01	1339.748064	2			1	18	2	1	1			1									2	1	200601300004	20060130000401	1344.09564995676
62	01	01	910.77783537	2			2					2													200601300005	20060130000501	922.346941536184
62	01	01	1391.2071353	2			2					2													200601300006	20060130000601	1390.21213673407
62	03	01	1338.5898799	2			2					2													200601300007	20060130000701	1344.06663995843
62	01	01	1352.1246225	2			2					2													200601300008	20060130000801	1360.8307680943
62	01	01	1610.4305814	2			2					2													200601300009	20060130000901	1609.94722306943
62	01	01	743.59265342	2			2					2													200601300010	20060130001001	756.423756869617
62	02	01	743.59265342	2			2					2													200601300010	20060130001001	756.423756869617
62	03	01	743.59265342	2			2					1	1	1									1	1	200601300010	20060130001001	756.423756869617
62	04	01	743.59265342	2			2					2													200601300010	20060130001001	756.423756869617
62	05	01	743.59265342	2			2					2													200601300010	20060130001001	756.423756869617
62	01	01	1245.1481993	2			2					2													200601300011	20060130001101	1254.19331086932
62	01	01	1465.2764673	2			1	30	1	1	2														200601300012	20060130001201	1467.17832248501
62	03	01	1465.2764673	2			2					2													200601300012	20060130001201	1467.17832248501
62	01	01	930.6380577	2			2					2													200601300013	20060130001301	941.862424515527
62	10	01	930.6380577	2			1	40	1	1	2														200601300013	20060130001301	941.862424515527
62	01	01	952.18125193	2			2					2													200601300014	20060130001401	958.408368956514
62	02	01	952.18125193	2			2					2													200601300014	20060130001401	958.408368956514
62	01	01	1293.3107269	2			2					2													200601300015	20060130001501	1294.00040707066
62	01	01	1467.140409	2			1	40	1	1	2														200601300016	20060130001601	1450.78478898692
62	04	01	1467.140409	2			2					2													200601300016	20060130001601	1450.78478898692
62	05	01	1467.140409	2			2					2													200601300016	20060130001601	1450.78478898692
62	08	01	1467.140409	2			2					1		1		1							1	1	200601300016	20060130001601	1450.78478898692
62	01	01	1253.0700299	2			2					2													200601300017	20060130001701	1264.59002843257
62	01	01	1840.0467804	2			2					2													200601300018	20060130001801	1817.03735237814
62	02	01	1840.0467804	2			2					2													200601300018	20060130001801	1817.03735237814
62	03	01	1840.0467804	2			2					2													200601300018	20060130001801	1817.03735237814
62	01	01	1109.4745279	2			1	40	1	1	1			1		1							1	1	200601300019	20060130001901	1099.21893291182
62	01	01	1339.748064	2			1	21	1	1	2														200601300020	20060130002001	1344.09564995676
62	01	01	3757.1850339	2			2					1		1		1							2	1	200601300021	20060130002101	3736.7987578283
62	03	01	3757.1850339	2			2					2													200601300021	20060130002101	3736.7987578283
62	04	01	3757.1850339	2			2					2													200601300021	20060130002101	3736.7987578283
62	07	01	3757.1850339	2			2					1				1					1		1	1	200601300021	20060130002101	3736.7987578283
62	09	01	3757.1850339	2			2					2													200601300021	20060130002101	3736.7987578283
62	01	01	5078.1250089	2			2					2													200601300022	20060130002201	5041.5899066655
62	04	01	4308.9990648	2			2					2													200601300023	20060130002301	4307.28504307732
62	01	01	3756.2611832	2			2					2													200601300024	20060130002401	3718.01290462532
62	01	01	2615.2776858	1	98	24	2					2													200601300025	20060130002501	2639.21499503224
62	01	01	3913.2340688	2			2					2													200601300027	20060130002701	3915.32086805225
62	01	01	3486.4908495	2			2					2													200601300028	20060130002801	3491.72327783302
62	01	01	3844.0913503	2			2					2													200601300029	20060130002901	3855.96712733129
62	04	01	3844.0913503	2			2					2													200601300029	20060130002901	3855.96712733129
62	01	01	2964.1374339	2			2					2													200601300030	20060130003001	2987.63771812612
62	03	01	2964.1374339	2			2					2													200601300030	20060130003001	2987.63771812612
62	01	01	4199.4695464	1	0	20	2					2													200601300032	20060130003201	4187.34281054345
62	01	01	3564.3465017	1	98	15	2					2													200601300033	20060130003301	3610.58686621478
