Reg	Orden	Hogar	Fex_c	P49	P50	P51	P52	P52a	P53	P54	P55	P56	P57	P56n	P57a	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Llave_viv	Llave_hog	Fex_c_2011
70	05	01	1026.3122078	4	48	45	1	14	2	4	45	52	1	5233	8	150000	0	0	0	0	0	200601300001	20060130000101	1056.19293697837
70	01	01	825.25798538	8	48	54	3	01	2	8	54	95	3	9500	6	0	0	0	0	0	0	200601300002	20060130000201	842.870330010317
70	02	01	1339.748064	4	48	57	5	01	2	4	57	93	5	9302	8	0	0	0	0	0	0	200601300004	20060130000401	1344.09564995676
70	03	01	930.6380577	8	48	54	3	01	1							0	0	0	0	0	0	200601300013	20060130001301	941.862424515527
70	09	01	930.6380577	2	48	79	1	01	1							0	0	0	0	0	0	200601300013	20060130001301	941.862424515527
70	03	01	952.18125193	8	48	45	1	07	1							0	0	0	0	0	0	200601300014	20060130001401	958.408368956514
70	04	01	952.18125193	8	48	58	1	01	2	8	58	80	2	8045	8	0	0	0	0	98	0	200601300014	20060130001401	958.408368956514
70	03	01	3844.0913503	998	48	97	4	01	2	13	97	15	1	1581	8	0	0	0	0	0	98	200601300029	20060130002901	3855.96712733129
70	01	01	4130.3268279	4	48	99	4	01	2	4	99	45	1	4521	8	98	0	0	0	0	0	200601300031	20060130003101	4127.9890698225
70	03	01	3564.3465017	52	48	54	3	01	2	52	54	95	3	9500	6	0	0	0	0	0	0	200601300033	20060130003301	3610.58686621478
70	02	01	4085.0577299	8	48	53	1	02	2	8	53	91	1	9199	8	0	0	0	0	0	0	200601300045	20060130004501	4075.73734213041
70	03	01	1752.8552348	4	48	62	4	01	1							21000	0	0	0	0	0	200601300048	20060130004801	1786.76668841541
70	04	01	1752.8552348	4	48	62	4	01	1							21000	0	0	0	0	0	200601300048	20060130004801	1786.76668841541
70	03	01	2479.0731085	4	48	45	1	01	1							0	0	0	0	0	0	200601300067	20060130006701	2451.74061118502
70	03	01	3317.4920465	8	48	45	1	01	1							0	0	0	0	0	0	200601300093	20060130009301	3263.95154789512
70	04	01	2296.1537459	8	48	45	1	01	1							0	0	0	0	0	0	200601300135	20060130013501	2302.07089769297
70	05	01	1766.2461651	52	24	62	4	01	1							0	0	0	0	0	0	200601300144	20060130014401	1746.39243268652
70	06	01	1766.2461651	4	14	62	4	01	1							0	0	0	0	0	0	200601300144	20060130014401	1746.39243268652
70	03	01	3747.8527211	26	60	59	1	05	2	26	59	85	1	8511	8	0	0	0	0	0	0	200601300177	20060130017701	3857.24151775343
70	03	01	3005.6751706	13	48	45	1	14	2	13	54	95	3	9500	8	0	0	0	0	0	0	200601300181	20060130018101	2966.1035961148
70	08	01	3005.6751706	156	48	32	1	07	1							0	0	0	0	0	0	200601300181	20060130018101	2966.1035961148
70	04	01	775.79304582	4	30	45	1	01	1							0	0	0	0	0	0	200601300223	20060130022301	779.403167636777
70	01	01	825.34511831	156	60	05	1	01	2	156	05	75	2	7512	8	0	0	0	0	0	0	200601300254	20060130025401	826.583773270566
70	02	01	1242.0142133	156	60	59	5	01	2	52	59	85	5	8532	8	0	0	0	0	0	0	200601300269	20060130026901	1241.45908641292
70	07	01	995.0805439	4	60	60	1	01	2	4	60	01	4	0121	0	0	0	0	0	0	0	200601300280	20060130028001	997.417048312689
70	03	01	1088.244051	4	60	62	4	01	2	4	62	01	4	0117	8	0	0	0	0	0	0	200601300285	20060130028501	1091.09843239985
70	01	01	903.59211889	104	60	99	1	01	2	104	19	91	1	9191	8	0	0	0	3300000	0	0	200601300288	20060130028801	897.333489524204
70	03	01	923.86567296	4	40	39	5	09	1							0	0	0	0	0	0	200601300294	20060130029401	928.285479738919
70	01	01	997.63958436	52	56	62	4	01	2	4	62	01	5	0140	8	200000	0	0	0	0	0	200601300325	20060130032501	1002.32985894685
70	05	01	1087.0591737	8	52	45	1	01	2	52	39	74	1	7499	2	0	0	0	0	0	0	200601300360	20060130036001	1087.29629642152
70	02	01	1080.5214	52	48	45	1	01	1							0	0	0	0	0	0	200601300391	20060130039101	1088.22352796725
70	03	01	966.62858109	52	48	11	1	01	2	52	33	85	2	8511	8	0	0	0	0	0	0	200601300397	20060130039701	956.245464634875
