Reg	Orden	Hogar	Fex_c	P3	P4	P5	P6	P7	P8	P8a	P8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	01	01	741.83945437	01	1	57	3	1	2	2	01		611	6	11	200601200001	20060120000101	740.747611135134
10	01	01	835.63179663	01	1	49	5	1	2	2	01		611	6	11	200601200002	20060120000201	839.545291451793
10	02	01	835.63179663	08	2	52	4	1	2	2	01		611	6	11	200601200002	20060120000201	839.545291451793
10	03	01	835.63179663	08	2	62	5	1	2	2	07		305	3	5	200601200002	20060120000201	839.545291451793
10	04	01	835.63179663	08	2	47	5	1	2	2	07		303	3	3	200601200002	20060120000201	839.545291451793
10	01	01	806.63151704	01	1	47	1	1	2	2	01		406	4	6	200601200003	20060120000301	810.465036241827
10	02	01	806.63151704	02	2	49	1	1	2	2	07		407	4	7	200601200003	20060120000301	810.465036241827
10	03	01	806.63151704	03	1	19	5	1	2	2	01		611	6	11	200601200003	20060120000301	810.465036241827
10	04	01	806.63151704	03	1	17	5	1	1			1	408	4	8	200601200003	20060120000301	810.465036241827
10	01	01	742.2718542	01	1	50	2	1	2	2	01		406	4	6	200601200004	20060120000401	743.271299483587
10	02	01	742.2718542	02	2	54	2	1	2	2	07		305	3	5	200601200004	20060120000401	743.271299483587
10	03	01	742.2718542	03	2	21	5	1	2	2	01		503	5	3	200601200004	20060120000401	743.271299483587
10	01	01	845.69731665	01	2	83	3	1	2	2	11		303	3	3	200601200005	20060120000501	845.395737818504
10	02	01	845.69731665	03	1	58	5	1	2	2	11		303	3	3	200601200005	20060120000501	845.395737818504
10	03	01	845.69731665	03	1	43	5	2	2	2	11		100	1	0	200601200005	20060120000501	845.395737818504
10	01	01	699.58972122	01	1	16	5	1	1			1	500	5	0	200601200006	20060120000601	700.431815003103
10	01	01	759.00103633	01	1	50	2	1	2	2	01		503	5	3	200601200007	20060120000701	760.29421777679
10	02	01	759.00103633	02	2	44	2	1	2	2	07		611	6	11	200601200007	20060120000701	760.29421777679
10	03	01	759.00103633	03	1	14	5	1	1			1	408	4	8	200601200007	20060120000701	760.29421777679
10	04	01	759.00103633	03	1	10	5	1	1			1	400	4	0	200601200007	20060120000701	760.29421777679
10	01	01	712.58973538	01	2	48	4	1	2	2	01		611	6	11	200601200008	20060120000801	714.996019872052
10	02	01	712.58973538	03	1	24	5	1	2	2	01		611	6	11	200601200008	20060120000801	714.996019872052
10	01	01	806.63151704	01	1	46	2	1	2	2	01		611	6	11	200601200009	20060120000901	810.465036241827
10	02	01	806.63151704	02	2	40	2	1	2	2	07		611	6	11	200601200009	20060120000901	810.465036241827
10	03	01	806.63151704	03	1	16	5	1	1			1	500	5	0	200601200009	20060120000901	810.465036241827
10	04	01	806.63151704	03	1	12	5	1	1			2	406	4	6	200601200009	20060120000901	810.465036241827
10	01	01	806.63151704	01	1	43	2	1	2	2	01		611	6	11	200601200010	20060120001001	810.465036241827
10	02	01	806.63151704	02	2	50	2	1	2	2	01		407	4	7	200601200010	20060120001001	810.465036241827
10	03	01	806.63151704	03	1	17	5	1	2	2	11		611	6	11	200601200010	20060120001001	810.465036241827
10	04	01	806.63151704	03	1	16	5	1	1			1	610	6	10	200601200010	20060120001001	810.465036241827
10	01	01	671.36506923	01	2	40	5	1	2	2	01		409	4	9	200601200011	20060120001101	672.705532687518
10	02	01	671.36506923	03	2	8	5	1	1			1	302	3	2	200601200011	20060120001101	672.705532687518
10	01	01	663.96170466	01	1	27	1	1	2	2	01		611	6	11	200601200012	20060120001201	662.495972099798
10	02	01	663.96170466	02	2	26	1	1	2	2	07		407	4	7	200601200012	20060120001201	662.495972099798
10	03	01	663.96170466	03	1	6	5	2	1			2	200	2	0	200601200012	20060120001201	662.495972099798
10	04	01	663.96170466	03	2	4	5									200601200012	20060120001201	662.495972099798
10	05	01	663.96170466	03	1	3	5									200601200012	20060120001201	662.495972099798
10	01	01	577.5419492	01	1	48	1	1	2	2	11		305	3	5	200601200013	20060120001301	579.37609308812
10	02	01	577.5419492	02	2	46	1	1	2	2	06		305	3	5	200601200013	20060120001301	579.37609308812
10	03	01	577.5419492	03	2	25	5	1	2	2	06		611	6	11	200601200013	20060120001301	579.37609308812
10	04	01	577.5419492	05	2	3	5									200601200013	20060120001301	579.37609308812
10	05	01	577.5419492	03	1	22	5	1	2	2	02		611	6	11	200601200013	20060120001301	579.37609308812
10	06	01	577.5419492	03	2	20	5	1	2	2	02		611	6	11	200601200013	20060120001301	579.37609308812
10	07	01	577.5419492	03	2	17	5	1	1			1	408	4	8	200601200013	20060120001301	579.37609308812
10	08	01	577.5419492	09	2	11	5	1	1			1	400	4	0	200601200013	20060120001301	579.37609308812
10	01	01	617.55040371	01	2	29	5	1	2	2	01		610	6	10	200601200014	20060120001401	617.19777419506
10	02	01	617.55040371	03	1	7	5	1	1			1	300	3	0	200601200014	20060120001401	617.19777419506
10	03	01	617.55040371	03	2	5	5	2	1			1	200	2	0	200601200014	20060120001401	617.19777419506
10	01	01	629.04587358	01	2	23	5	1	2	2	11		409	4	9	200601200015	20060120001501	627.901138217442
10	01	01	772.22268024	01	1	39	1	1	2	2	01		409	4	9	200601200016	20060120001601	777.40181389882
10	02	01	772.22268024	02	2	45	1	1	2	2	02		611	6	11	200601200016	20060120001601	777.40181389882
10	03	01	772.22268024	09	1	19	5	1	2	2	02		611	6	11	200601200016	20060120001601	777.40181389882
10	04	01	772.22268024	09	2	27	5	1	2	2	02		611	6	11	200601200016	20060120001601	777.40181389882
10	05	01	772.22268024	09	2	0	5									200601200016	20060120001601	777.40181389882
10	06	01	772.22268024	09	1	23	5	1	2	2	01		611	6	11	200601200016	20060120001601	777.40181389882
10	01	01	745.47135019	01	1	63	2	2	2	2	11		100	1	0	200601200017	20060120001701	756.82475698304
10	02	01	745.47135019	02	2	59	2	1	2	2	11		100	1	0	200601200017	20060120001701	756.82475698304
10	01	02	717.77637017	01	1	35	2	1	2	2	01		611	6	11	200601200017	20060120001702	756.82475698304
10	02	02	717.77637017	02	2	32	2	1	2	2	07		611	6	11	200601200017	20060120001702	756.82475698304
10	03	02	717.77637017	03	2	10	5	1	1			1	400	4	0	200601200017	20060120001702	756.82475698304
10	04	02	717.77637017	03	1	7	5	1	1			1	301	3	1	200601200017	20060120001702	756.82475698304
10	01	01	694.86300324	01	1	34	2	1	2	2	01		409	4	9	200601200018	20060120001801	695.643872271632
10	02	01	694.86300324	02	2	31	2	1	2	2	07		305	3	5	200601200018	20060120001801	695.643872271632
10	03	01	694.86300324	03	2	12	5	1	1			1	406	4	6	200601200018	20060120001801	695.643872271632
10	04	01	694.86300324	03	2	8	5	1	1			1	303	3	3	200601200018	20060120001801	695.643872271632
10	01	01	707.43061758	01	1	58	2	1	2	2	06		611	6	11	200601200019	20060120001901	707.684388792127
10	02	01	707.43061758	02	2	39	2	1	2	2	02		611	6	11	200601200019	20060120001901	707.684388792127
10	03	01	707.43061758	03	2	6	5	2	1			2	300	3	0	200601200019	20060120001901	707.684388792127
10	01	01	628.45833837	01	1	40	2	1	2	2	02		301	3	1	200601200020	20060120002001	626.918842471249
10	02	01	628.45833837	02	2	39	2	1	2	2	11		409	4	9	200601200020	20060120002001	626.918842471249
10	03	01	628.45833837	03	1	15	5	1	2	2	11		408	4	8	200601200020	20060120002001	626.918842471249
10	04	01	628.45833837	09	2	23	5	1	2	2	02		610	6	10	200601200020	20060120002001	626.918842471249
10	05	01	628.45833837	03	1	6	5	1	1			1	301	3	1	200601200020	20060120002001	626.918842471249
10	06	01	628.45833837	09	1	2	5									200601200020	20060120002001	626.918842471249
10	01	01	538.49171203	01	2	22	1	2	2	2	02		100	1	0	200601200021	20060120002101	540.378778893809
10	02	01	538.49171203	02	1	22	1	1	2	2	01		303	3	3	200601200021	20060120002101	540.378778893809
10	03	01	538.49171203	03	2	6	5	2	1			1	300	3	0	200601200021	20060120002101	540.378778893809
10	04	01	538.49171203	06	2	59	4	2	2	2	11		100	1	0	200601200021	20060120002101	540.378778893809
10	05	01	538.49171203	08	2	33	4	1	2	2	02		303	3	3	200601200021	20060120002101	540.378778893809
10	06	01	538.49171203	09	2	10	5	1	1			1	303	3	3	200601200021	20060120002101	540.378778893809
10	07	01	538.49171203	09	1	18	5	1	2	2	01		408	4	8	200601200021	20060120002101	540.378778893809
10	01	01	534.41655672	01	2	44	5	1	2	2	01		408	4	8	200601200022	20060120002201	531.449826101474
10	02	01	534.41655672	03	2	20	5	1	2	2	02		611	6	11	200601200022	20060120002201	531.449826101474
10	03	01	534.41655672	05	1	1	5									200601200022	20060120002201	531.449826101474
10	04	01	534.41655672	05	1	6	5	1	1			1	301	3	1	200601200022	20060120002201	531.449826101474
10	01	01	794.53691271	01	2	70	2	1	2	2	11		301	3	1	200601200023	20060120002301	904.16606363359
10	02	01	794.53691271	02	1	78	2	2	2	2	11		100	1	0	200601200023	20060120002301	904.16606363359
10	03	01	794.53691271	11	1	72	1	1	2	2	11		301	3	1	200601200023	20060120002301	904.16606363359
10	04	01	794.53691271	11	2	39	1	1	2	2	02		301	3	1	200601200023	20060120002301	904.16606363359
10	01	02	812.81570184	01	1	37	1	1	2	2	01		406	4	6	200601200023	20060120002302	904.16606363359
10	02	02	812.81570184	02	2	35	1	1	2	2	06		303	3	3	200601200023	20060120002302	904.16606363359
10	03	02	812.81570184	03	1	16	5	1	1			1	610	6	10	200601200023	20060120002302	904.16606363359
10	01	01	688.45718869	01	1	27	1	1	2	2	01		406	4	6	200601200024	20060120002401	687.763540991129
10	02	01	688.45718869	02	2	36	1	1	2	2	07		406	4	6	200601200024	20060120002401	687.763540991129
10	03	01	688.45718869	03	2	12	5	1	1			1	407	4	7	200601200024	20060120002401	687.763540991129
10	04	01	688.45718869	03	1	10	5	1	1			1	304	3	4	200601200024	20060120002401	687.763540991129
10	01	01	492.17195553	01	1	55	1	1	2	2	01		302	3	2	200601200025	20060120002501	485.653354822294
10	02	01	492.17195553	02	2	33	1	1	2	2	07		407	4	7	200601200025	20060120002501	485.653354822294
