Reg	Orden	Hogar	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	01	01	741.83945437	1	1												200601200001	20060120000101	740.747611135134
50	01	01	835.63179663	2	1												200601200002	20060120000201	839.545291451793
50	02	01	835.63179663	2	2	2	2	2	1							1	200601200002	20060120000201	839.545291451793
50	03	01	835.63179663	2	4	2	2	2	2	2							200601200002	20060120000201	839.545291451793
50	04	01	835.63179663	2	6												200601200002	20060120000201	839.545291451793
50	01	01	806.63151704	3	1												200601200003	20060120000301	810.465036241827
50	02	01	806.63151704	3	4	2	2	2	2	2							200601200003	20060120000301	810.465036241827
50	03	01	806.63151704	3	1												200601200003	20060120000301	810.465036241827
50	04	01	806.63151704	3	3	2	2	2	2	2							200601200003	20060120000301	810.465036241827
50	01	01	742.2718542	1	1												200601200004	20060120000401	743.271299483587
50	02	01	742.2718542	1	4	2	2	2	2	2							200601200004	20060120000401	743.271299483587
50	03	01	742.2718542	1	1												200601200004	20060120000401	743.271299483587
50	01	01	845.69731665	1	1												200601200005	20060120000501	845.395737818504
50	02	01	845.69731665	2	5	2	2	1									200601200005	20060120000501	845.395737818504
50	03	01	845.69731665	2	6												200601200005	20060120000501	845.395737818504
50	01	01	699.58972122	1	3	2	2	2	2	2							200601200006	20060120000601	700.431815003103
50	01	01	759.00103633	2	1												200601200007	20060120000701	760.29421777679
50	02	01	759.00103633	2	4	2	2	2	2	2							200601200007	20060120000701	760.29421777679
50	03	01	759.00103633	2	3	2	2	2	2	2							200601200007	20060120000701	760.29421777679
50	01	01	712.58973538	2	1												200601200008	20060120000801	714.996019872052
50	02	01	712.58973538	2	1												200601200008	20060120000801	714.996019872052
50	01	01	806.63151704	2	1												200601200009	20060120000901	810.465036241827
50	02	01	806.63151704	2	4	1											200601200009	20060120000901	810.465036241827
50	03	01	806.63151704	2	3	2	2	2	2	2							200601200009	20060120000901	810.465036241827
50	04	01	806.63151704	2	3	2	2	2	2	2							200601200009	20060120000901	810.465036241827
50	01	01	806.63151704	1	1												200601200010	20060120001001	810.465036241827
50	02	01	806.63151704	1	1												200601200010	20060120001001	810.465036241827
50	03	01	806.63151704	1	5	2	2	2	2	1	15						200601200010	20060120001001	810.465036241827
50	04	01	806.63151704	1	3	2	2	2	2	2							200601200010	20060120001001	810.465036241827
50	01	01	671.36506923	1	1												200601200011	20060120001101	672.705532687518
50	01	01	663.96170466	1	1												200601200012	20060120001201	662.495972099798
50	02	01	663.96170466	1	1												200601200012	20060120001201	662.495972099798
50	01	01	577.5419492	1	5	2	1										200601200013	20060120001301	579.37609308812
50	02	01	577.5419492	1	5	2	1										200601200013	20060120001301	579.37609308812
50	03	01	577.5419492	1	4	2	2	2	1							1	200601200013	20060120001301	579.37609308812
50	05	01	577.5419492	1	5	2	1										200601200013	20060120001301	579.37609308812
50	06	01	577.5419492	1	4	2	2	2	1							1	200601200013	20060120001301	579.37609308812
50	07	01	577.5419492	1	3	2	2	2	2	2							200601200013	20060120001301	579.37609308812
50	01	01	617.55040371	1	5	2	1										200601200014	20060120001401	617.19777419506
50	01	01	629.04587358	1	4	2	2	2	2	1	05	2		1	2	1	200601200015	20060120001501	627.901138217442
50	01	01	772.22268024	2	1												200601200016	20060120001601	777.40181389882
50	02	01	772.22268024	2	5	1											200601200016	20060120001601	777.40181389882
50	03	01	772.22268024	2	1												200601200016	20060120001601	777.40181389882
50	04	01	772.22268024	2	4	1											200601200016	20060120001601	777.40181389882
50	06	01	772.22268024	2	1												200601200016	20060120001601	777.40181389882
50	01	01	745.47135019	1	5	2	2	2	2	2							200601200017	20060120001701	756.82475698304
50	02	01	745.47135019	1	4	2	2	2	2	2							200601200017	20060120001701	756.82475698304
50	01	02	717.77637017	2	1												200601200017	20060120001702	756.82475698304
50	02	02	717.77637017	2	1												200601200017	20060120001702	756.82475698304
50	01	01	694.86300324	1	5	2	2	2	1							1	200601200018	20060120001801	695.643872271632
50	02	01	694.86300324	1	4	2	2	2	2	2							200601200018	20060120001801	695.643872271632
50	03	01	694.86300324	1	3	2	2	2	2	2							200601200018	20060120001801	695.643872271632
50	01	01	707.43061758	2	1												200601200019	20060120001901	707.684388792127
50	02	01	707.43061758	2	4	2	2	2	2	2							200601200019	20060120001901	707.684388792127
50	01	01	628.45833837	2	1												200601200020	20060120002001	626.918842471249
50	02	01	628.45833837	2	5	1											200601200020	20060120002001	626.918842471249
50	03	01	628.45833837	2	5	2	2	2	2	2							200601200020	20060120002001	626.918842471249
50	04	01	628.45833837	2	4	2	2	2	2	1	13						200601200020	20060120002001	626.918842471249
50	01	01	538.49171203	1	4	2	2	2	2	1	03	1	2				200601200021	20060120002101	540.378778893809
50	02	01	538.49171203	1	5	2	2	2	2	1	03	1	2				200601200021	20060120002101	540.378778893809
50	04	01	538.49171203	1	4	2	2	2	2	2							200601200021	20060120002101	540.378778893809
50	05	01	538.49171203	5	4	2	2	2	1							1	200601200021	20060120002101	540.378778893809
50	07	01	538.49171203	1	5	2	1										200601200021	20060120002101	540.378778893809
50	01	01	534.41655672	2	1												200601200022	20060120002201	531.449826101474
50	02	01	534.41655672	2	1												200601200022	20060120002201	531.449826101474
50	01	01	794.53691271	1	4	2	2	2	2	2							200601200023	20060120002301	904.16606363359
50	02	01	794.53691271	1	1												200601200023	20060120002301	904.16606363359
50	03	01	794.53691271	1	5	2	2	2	2	2							200601200023	20060120002301	904.16606363359
50	04	01	794.53691271	1	4	2	2	2	2	2							200601200023	20060120002301	904.16606363359
50	01	02	812.81570184	1	1												200601200023	20060120002302	904.16606363359
50	02	02	812.81570184	1	4	2	2	2	2	1	12						200601200023	20060120002302	904.16606363359
