Reg	Orden	Hogar	Fex_c	P60	P61	P61a	P62	P63	P64	P64a	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Llave_viv	Llave_hog	Fex_c_2011
80	03	01	835.63179663	2				2			0	0	0	0	0	0	200601200002	20060120000201	839.545291451793
80	04	01	835.63179663								0	0	0	0	0	0	200601200002	20060120000201	839.545291451793
80	02	01	806.63151704	2				2			0	0	0	0	0	0	200601200003	20060120000301	810.465036241827
80	04	01	806.63151704	2				2			0	0	0	0	0	0	200601200003	20060120000301	810.465036241827
80	02	01	742.2718542	1	1	3	2				0	0	0	0	0	0	200601200004	20060120000401	743.271299483587
80	03	01	845.69731665								0	0	0	0	0	0	200601200005	20060120000501	845.395737818504
80	01	01	699.58972122	2				2			0	0	0	2400000	0	0	200601200006	20060120000601	700.431815003103
80	02	01	759.00103633	1	4	3	2				0	0	0	0	0	0	200601200007	20060120000701	760.29421777679
80	03	01	759.00103633	2				2			0	0	0	0	0	0	200601200007	20060120000701	760.29421777679
80	03	01	806.63151704	2				2			0	0	0	0	0	0	200601200009	20060120000901	810.465036241827
80	04	01	806.63151704	2				2			0	0	0	0	0	0	200601200009	20060120000901	810.465036241827
80	03	01	806.63151704	2				2			0	0	0	0	0	0	200601200010	20060120001001	810.465036241827
80	04	01	806.63151704	2				2			0	0	0	0	0	0	200601200010	20060120001001	810.465036241827
80	07	01	577.5419492	2				2			0	0	0	0	0	0	200601200013	20060120001301	579.37609308812
80	01	01	745.47135019	1	3	5	2				0	0	381500	98	0	0	200601200017	20060120001701	756.82475698304
80	02	01	745.47135019	2				2			0	0	0	0	0	0	200601200017	20060120001701	756.82475698304
80	02	01	694.86300324	2				2			0	0	0	0	0	0	200601200018	20060120001801	695.643872271632
80	03	01	694.86300324	2				2			0	0	0	0	0	0	200601200018	20060120001801	695.643872271632
80	02	01	707.43061758	2				2			0	0	0	0	0	0	200601200019	20060120001901	707.684388792127
80	03	01	628.45833837	2				2			0	0	0	0	0	0	200601200020	20060120002001	626.918842471249
80	04	01	628.45833837	1	3	4	2				0	0	0	0	0	0	200601200020	20060120002001	626.918842471249
80	01	01	538.49171203								400000	0	0	0	0	0	200601200021	20060120002101	540.378778893809
80	02	01	538.49171203								426000	0	0	0	0	0	200601200021	20060120002101	540.378778893809
80	04	01	538.49171203	2				2			0	0	0	0	0	0	200601200021	20060120002101	540.378778893809
80	01	01	794.53691271	2				2			0	0	0	0	0	0	200601200023	20060120002301	904.16606363359
80	03	01	794.53691271	1	2	1	1		1	08	0	0	0	0	0	0	200601200023	20060120002301	904.16606363359
80	04	01	794.53691271	1	4	1	1		1	05	0	0	0	0	0	0	200601200023	20060120002301	904.16606363359
80	02	02	812.81570184	1	1	8	1		1	01	0	0	0	0	0	0	200601200023	20060120002302	904.16606363359
80	03	02	812.81570184	2				2			0	0	0	0	0	0	200601200023	20060120002302	904.16606363359
80	02	01	688.45718869	1	4	3	2				0	0	0	0	0	0	200601200024	20060120002401	687.763540991129
80	03	01	688.45718869	2				2			0	0	0	0	0	0	200601200024	20060120002401	687.763540991129
80	02	01	492.17195553	1	4	3	2				0	0	0	0	0	0	200601200025	20060120002501	485.653354822294
80	01	01	629.67751814	1	4	3	2				0	0	0	2400000	0	0	200601200026	20060120002601	631.791463031547
80	03	01	629.67751814	2				2			0	0	0	0	0	0	200601200026	20060120002601	631.791463031547
80	04	01	629.67751814	2				2			0	0	0	0	0	0	200601200026	20060120002601	631.791463031547
80	03	01	717.99799992	2				2			0	0	0	0	0	0	200601200027	20060120002701	720.547121845338
80	02	01	614.92865224	1	1	6	2				0	0	0	0	0	0	200601200028	20060120002801	611.214406115766
80	03	01	614.92865224	2				2			0	0	0	0	0	0	200601200028	20060120002801	611.214406115766
80	02	01	711.59218537	2				2			0	0	0	0	0	0	200601200029	20060120002901	712.666790564835
80	03	01	711.59218537	2				2			0	0	0	0	0	0	200601200029	20060120002901	712.666790564835
80	01	01	753.84191853	2				2			0	0	0	0	0	0	200601200030	20060120003001	752.982586696866
80	02	01	603.43318237	1	1	4	2				0	0	0	98	0	0	200601200033	20060120003301	600.511042093384
80	05	01	507.73172104	2				2			0	0	0	0	0	0	200601200034	20060120003401	502.722577479303
80	02	01	628.04832356	1	1	6	2				0	0	0	0	0	0	200601200035	20060120003501	625.571908910224
80	01	01	674.99696504	1	4	3	2				0	0	0	1700000	0	0	200601200036	20060120003601	676.547702973692
80	03	01	636.30966521	2				2			0	0	0	0	0	0	200601200041	20060120004101	635.585478789789
80	02	01	727.02483136								0	0	0	0	0	0	200601200043	20060120004301	728.932467249523
80	03	01	570.72611984	1	2	3	2				0	0	0	0	0	0	200601200044	20060120004401	570.148828246593
80	01	01	703.22161703	2				2			0	0	0	0	0	0	200601200045	20060120004501	704.273985289276
80	02	01	747.92510355	1	4	7	2				0	0	0	0	0	0	200601200049	20060120004901	746.746375170526
80	01	01	726.54893598	1	3	5	2				0	0	381500	0	0	0	200601200050	20060120005001	725.834038339213
80	02	01	726.54893598	2				2			0	0	0	0	0	0	200601200050	20060120005001	725.834038339213
80	03	01	726.54893598	2				2			0	0	0	0	0	0	200601200050	20060120005001	725.834038339213
80	02	01	722.14319324								0	0	0	0	0	0	200601200051	20060120005101	722.377899240471
80	06	01	722.14319324	2				2			0	0	0	0	0	0	200601200051	20060120005101	722.377899240471
