Reg	Orden	Hogar	Fex_c	P34	P35a	P35b	P36_1	P36_2	P36a	Llave_viv	Llave_hog	Fex_c_2011
61	01	01	741.83945437	48	2		2		432	200601200001	20060120000101	740.747611135134
61	01	01	835.63179663	70	2		2		012	200601200002	20060120000201	839.545291451793
61	01	01	806.63151704	48	2		2		096	200601200003	20060120000301	810.465036241827
61	03	01	806.63151704	48	2		2		007	200601200003	20060120000301	810.465036241827
61	01	01	742.2718542	40	2		2		096	200601200004	20060120000401	743.271299483587
61	03	01	742.2718542	48	2		2		002	200601200004	20060120000401	743.271299483587
61	01	01	845.69731665	36	2		2		024	200601200005	20060120000501	845.395737818504
61	02	01	845.69731665	18	2		2		024	200601200005	20060120000501	845.395737818504
61	01	01	759.00103633	48	2		2		680	200601200007	20060120000701	760.29421777679
61	01	01	712.58973538	48	2		2		256	200601200008	20060120000801	714.996019872052
61	02	01	712.58973538	48	2		2		024	200601200008	20060120000801	714.996019872052
61	01	01	806.63151704	72	2		2		001	200601200009	20060120000901	810.465036241827
61	02	01	806.63151704	12	2		2		024	200601200009	20060120000901	810.465036241827
61	01	01	806.63151704	48	2		2		036	200601200010	20060120001001	810.465036241827
61	02	01	806.63151704	48	2		2		360	200601200010	20060120001001	810.465036241827
61	01	01	671.36506923	40	2		2		001	200601200011	20060120001101	672.705532687518
61	01	01	663.96170466	40	2		2		003	200601200012	20060120001201	662.495972099798
61	02	01	663.96170466	48	2		2		004	200601200012	20060120001201	662.495972099798
61	01	01	577.5419492	48	1	48	2		003	200601200013	20060120001301	579.37609308812
61	02	01	577.5419492	50	1	50	2		002	200601200013	20060120001301	579.37609308812
61	05	01	577.5419492	48	1	48	2		009	200601200013	20060120001301	579.37609308812
61	01	01	617.55040371	48	1	48	2		012	200601200014	20060120001401	617.19777419506
61	01	01	772.22268024	60	2		2		002	200601200016	20060120001601	777.40181389882
61	02	01	772.22268024	20	2		2		004	200601200016	20060120001601	777.40181389882
61	03	01	772.22268024	48	2		2		006	200601200016	20060120001601	777.40181389882
61	04	01	772.22268024	16	2		2		002	200601200016	20060120001601	777.40181389882
