Reg	Orden	Hogar	Fex_c	P24	P26	P26n	P27	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	01	01	741.83945437	70	18	1810	1	1	1		1500000	1	150000	2		2		2			0	0	0	0	0	1	1	1	1	1	200601200001	20060120000101	740.747611135134
60	01	01	835.63179663	57	93	9302	4													408000	0	0	0	0	0	1	1	4	1	3	200601200002	20060120000201	839.545291451793
60	01	01	806.63151704	83	28	2811	4													0	0	0	0	0	0	1	1	4	1	3	200601200003	20060120000301	810.465036241827
60	03	01	806.63151704	75	17	1730	1	1	1		382000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200003	20060120000301	810.465036241827
60	01	01	742.2718542	98	52	5219	1	1	1		500000	2		2		2		2			0	0	0	0	0	1	1	4	1	3	200601200004	20060120000401	743.271299483587
60	03	01	742.2718542	40	52	5233	1	1	1		700000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200004	20060120000401	743.271299483587
60	01	01	845.69731665	41	52	5211	4													50000	0	450000	0	0	0	1	1	3	3		200601200005	20060120000501	845.395737818504
60	02	01	845.69731665	45	52	5211	6														0	382000	0	0	0	1	1	3	3		200601200005	20060120000501	845.395737818504
60	01	01	759.00103633	98	40	4010	1	1	1		580000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200007	20060120000701	760.29421777679
60	01	01	712.58973538	76	19	1931	1	1	1		600000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200008	20060120000801	714.996019872052
60	02	01	712.58973538	34	18	1810	1	1	2	12	500000	1	180000	2		2		2			0	0	0	0	0	1	1	1	1	1	200601200008	20060120000801	714.996019872052
60	01	01	806.63151704	98	60	6031	4													600000	0	0	0	0	0	1	1	4	1	3	200601200009	20060120000901	810.465036241827
