Reg	Orden	Hogar	Fex_c	P3	P4	P5	P6	P7	P8	P8a	P8b	P9	P10	P10a	P10b	P10c	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	01	01	1026.3122078	01	1	65	2	1	2	2	11		303				3	3	200601300001	20060130000101	1056.19293697837
10	02	01	1026.3122078	02	2	47	2	1	2	2	07		303				3	3	200601300001	20060130000101	1056.19293697837
10	03	01	1026.3122078	03	2	27	5	1	2	2	01		611				6	11	200601300001	20060130000101	1056.19293697837
10	04	01	1026.3122078	03	1	25	5	1	2	2	01		611				6	11	200601300001	20060130000101	1056.19293697837
10	05	01	1026.3122078	03	2	18	5	1	2	2	02		611				6	11	200601300001	20060130000101	1056.19293697837
10	06	01	1026.3122078	03	1	26	5	1	2	2	01		611				6	11	200601300001	20060130000101	1056.19293697837
10	07	01	1026.3122078	08	2	67	5	2	2	2	11		100				1	0	200601300001	20060130000101	1056.19293697837
10	01	01	825.25798538	01	2	43	4	1	2	2	02		303				3	3	200601300002	20060130000201	842.870330010317
10	02	01	825.25798538	03	2	22	5	1	2	2	02		611				6	11	200601300002	20060130000201	842.870330010317
10	03	01	825.25798538	03	2	16	5	1	1			1	610				6	10	200601300002	20060130000201	842.870330010317
10	01	01	1245.1481993	01	1	29	2	1	2	2	01		406				4	6	200601300003	20060130000301	1254.19331086932
10	02	01	1245.1481993	02	2	29	2	1	2	2	07		611				6	11	200601300003	20060130000301	1254.19331086932
10	01	01	1339.748064	01	1	42	2	1	2	2	01		305				3	5	200601300004	20060130000401	1344.09564995676
10	02	01	1339.748064	02	2	32	2	1	2	2	07		305				3	5	200601300004	20060130000401	1344.09564995676
10	03	01	1339.748064	03	1	9	5	1	1			1	400	2	2		4	0	200601300004	20060130000401	1344.09564995676
10	01	01	910.77783537	01	1	50	1	1	2	2	06		305				3	5	200601300005	20060130000501	922.346941536184
10	02	01	910.77783537	02	2	29	1	1	2	2	07		611				6	11	200601300005	20060130000501	922.346941536184
10	03	01	910.77783537	03	2	12	5	1	1			1	406				4	6	200601300005	20060130000501	922.346941536184
10	04	01	910.77783537	03	2	10	5	1	1			1	304				3	4	200601300005	20060130000501	922.346941536184
10	01	01	1391.2071353	01	1	43	2	1	2	2	01		305				3	5	200601300006	20060130000601	1390.21213673407
10	02	01	1391.2071353	02	2	39	2	1	2	2	07		406				4	6	200601300006	20060130000601	1390.21213673407
10	03	01	1391.2071353	03	1	14	5	1	1			1	406				4	6	200601300006	20060130000601	1390.21213673407
10	04	01	1391.2071353	03	2	9	5	1	1			1	303	2	2		3	3	200601300006	20060130000601	1390.21213673407
