Reg	Orden	Hogar	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	01	01	1026.3122078	1	5	2	2	2	2	2							200601300001	20060130000101	1056.19293697837
50	02	01	1026.3122078	1	4	2	2	2	2	2							200601300001	20060130000101	1056.19293697837
50	03	01	1026.3122078	1	1												200601300001	20060130000101	1056.19293697837
50	04	01	1026.3122078	1	1												200601300001	20060130000101	1056.19293697837
50	05	01	1026.3122078	1	5	2	2	2	1							1	200601300001	20060130000101	1056.19293697837
50	06	01	1026.3122078	1	1												200601300001	20060130000101	1056.19293697837
50	07	01	1026.3122078	1	6												200601300001	20060130000101	1056.19293697837
50	01	01	825.25798538	1	2	2	2	2	1							1	200601300002	20060130000201	842.870330010317
50	02	01	825.25798538	1	1												200601300002	20060130000201	842.870330010317
50	03	01	825.25798538	1	3	2	2	2	2	2							200601300002	20060130000201	842.870330010317
50	01	01	1245.1481993	2	1												200601300003	20060130000301	1254.19331086932
50	02	01	1245.1481993	2	1												200601300003	20060130000301	1254.19331086932
50	01	01	1339.748064	2	1												200601300004	20060130000401	1344.09564995676
50	02	01	1339.748064	2	4	2	2	2	1							1	200601300004	20060130000401	1344.09564995676
50	01	01	910.77783537	2	1												200601300005	20060130000501	922.346941536184
50	02	01	910.77783537	1	4	2	2	2	2	2							200601300005	20060130000501	922.346941536184
50	03	01	910.77783537	2	3	2	2	2	2	2							200601300005	20060130000501	922.346941536184
50	04	01	910.77783537	2	3	2	2	2	2	2							200601300005	20060130000501	922.346941536184
50	01	01	1391.2071353	2	1												200601300006	20060130000601	1390.21213673407
50	02	01	1391.2071353	2	4	2	2	2	2	2							200601300006	20060130000601	1390.21213673407
50	03	01	1391.2071353	2	3	2	2	2	2	2							200601300006	20060130000601	1390.21213673407
50	01	01	1338.5898799	2	5	2	2	2	2	2							200601300007	20060130000701	1344.06663995843
50	02	01	1338.5898799	2	4	2	2	2	2	2							200601300007	20060130000701	1344.06663995843
50	03	01	1338.5898799	2	1												200601300007	20060130000701	1344.06663995843
50	01	01	1352.1246225	1	1												200601300008	20060130000801	1360.8307680943
50	02	01	1352.1246225	1	3	2	2	2	2	2							200601300008	20060130000801	1360.8307680943
50	01	01	1610.4305814	2	1												200601300009	20060130000901	1609.94722306943
50	02	01	1610.4305814	2	4	2	2	2	2	2							200601300009	20060130000901	1609.94722306943
50	03	01	1610.4305814	2	3	2	2	2	2	2							200601300009	20060130000901	1609.94722306943
50	01	01	743.59265342	2	1												200601300010	20060130001001	756.423756869617
50	02	01	743.59265342	2	1												200601300010	20060130001001	756.423756869617
50	03	01	743.59265342	2	3	1											200601300010	20060130001001	756.423756869617
50	04	01	743.59265342	2	1												200601300010	20060130001001	756.423756869617
50	05	01	743.59265342	2	1												200601300010	20060130001001	756.423756869617
50	01	01	1245.1481993	1	1												200601300011	20060130001101	1254.19331086932
50	02	01	1245.1481993	1	4	2	2	2	2	2							200601300011	20060130001101	1254.19331086932
50	01	01	1465.2764673	1	1												200601300012	20060130001201	1467.17832248501
50	02	01	1465.2764673	1	4	2	2	2	2	2							200601300012	20060130001201	1467.17832248501
50	03	01	1465.2764673	1	1												200601300012	20060130001201	1467.17832248501
50	04	01	1465.2764673	1	3	2	2	2	2	2							200601300012	20060130001201	1467.17832248501
50	01	01	930.6380577	2	1												200601300013	20060130001301	941.862424515527
50	02	01	930.6380577	2	4	2	2	2	2	2							200601300013	20060130001301	941.862424515527
50	03	01	930.6380577	2	4	2	2	2	1							1	200601300013	20060130001301	941.862424515527
50	04	01	930.6380577	2	4	2	2	2	2	2							200601300013	20060130001301	941.862424515527
50	05	01	930.6380577	2	4	2	2	2	2	2							200601300013	20060130001301	941.862424515527
50	08	01	930.6380577	2	3	2	2	2	2	2							200601300013	20060130001301	941.862424515527
50	09	01	930.6380577	9	4	2	2	2	1							1	200601300013	20060130001301	941.862424515527
50	10	01	930.6380577	9	5	1											200601300013	20060130001301	941.862424515527
50	01	01	952.18125193	3	5	2	1										200601300014	20060130001401	958.408368956514
50	02	01	952.18125193	3	4	2	2	1									200601300014	20060130001401	958.408368956514
50	03	01	952.18125193	3	4	2	2	2	1							1	200601300014	20060130001401	958.408368956514
50	04	01	952.18125193	3	2	2	2	2	1							1	200601300014	20060130001401	958.408368956514
50	01	01	1293.3107269	2	1												200601300015	20060130001501	1294.00040707066
50	02	01	1293.3107269	2	4	2	2	2	2	2							200601300015	20060130001501	1294.00040707066
50	01	01	1467.140409	2	5	1											200601300016	20060130001601	1450.78478898692
50	02	01	1467.140409	2	4	2	2	2	2	1	12						200601300016	20060130001601	1450.78478898692
50	03	01	1467.140409	2	4	2	2	2	2	1	08	2		2			200601300016	20060130001601	1450.78478898692
50	04	01	1467.140409	2	5	1											200601300016	20060130001601	1450.78478898692
50	05	01	1467.140409	2	5	1											200601300016	20060130001601	1450.78478898692
50	06	01	1467.140409	2	3	2	2	2	2	2							200601300016	20060130001601	1450.78478898692
50	07	01	1467.140409	2	3	2	2	2	2	2							200601300016	20060130001601	1450.78478898692
50	08	01	1467.140409	2	1												200601300016	20060130001601	1450.78478898692
50	09	01	1467.140409	2	4	2	2	2	2	2							200601300016	20060130001601	1450.78478898692
50	01	01	1253.0700299	2	1												200601300017	20060130001701	1264.59002843257
50	02	01	1253.0700299	2	4	2	2	2	2	2							200601300017	20060130001701	1264.59002843257
50	01	01	1840.0467804	1	1												200601300018	20060130001801	1817.03735237814
50	02	01	1840.0467804	1	3	2	2	1									200601300018	20060130001801	1817.03735237814
50	03	01	1840.0467804	1	3	2	2	1									200601300018	20060130001801	1817.03735237814
50	01	01	1109.4745279	1	4	1											200601300019	20060130001901	1099.21893291182
50	01	01	1339.748064	1	1												200601300020	20060130002001	1344.09564995676
50	02	01	1339.748064	1	4	2	2	2	2	2							200601300020	20060130002001	1344.09564995676
50	01	01	3757.1850339	7	1												200601300021	20060130002101	3736.7987578283
50	02	01	3757.1850339	7	4	2	2	2	2	2							200601300021	20060130002101	3736.7987578283
50	03	01	3757.1850339	7	1												200601300021	20060130002101	3736.7987578283
50	04	01	3757.1850339	7	1												200601300021	20060130002101	3736.7987578283
50	05	01	3757.1850339	7	3	2	2	2	2	2							200601300021	20060130002101	3736.7987578283
50	06	01	3757.1850339	7	3	2	2	2	2	2							200601300021	20060130002101	3736.7987578283
50	07	01	3757.1850339	7	5	2	1										200601300021	20060130002101	3736.7987578283
50	08	01	3757.1850339	7	4	2	2	2	2	2							200601300021	20060130002101	3736.7987578283
50	09	01	3757.1850339	7	1												200601300021	20060130002101	3736.7987578283
50	01	01	5078.1250089	2	1												200601300022	20060130002201	5041.5899066655
50	02	01	5078.1250089	2	4	2	2	2	2	2							200601300022	20060130002201	5041.5899066655
50	03	01	5078.1250089	1	3	2	2	2	2	2							200601300022	20060130002201	5041.5899066655
50	04	01	5078.1250089	1	3	2	2	2	2	2							200601300022	20060130002201	5041.5899066655
50	01	01	4308.9990648	2	6												200601300023	20060130002301	4307.28504307732
50	02	01	4308.9990648	2	6												200601300023	20060130002301	4307.28504307732
