Reg	Orden	Hogar	Fex_c	P60	P61	P61a	P62	P63	P64	P64a	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Llave_viv	Llave_hog	Fex_c_2011
80	01	01	1026.3122078	1	4	5	2				0	0	1800000	0	0	0	200601300001	20060130000101	1056.19293697837
80	02	01	1026.3122078	2				2			0	0	0	0	0	0	200601300001	20060130000101	1056.19293697837
80	07	01	1026.3122078								0	0	0	0	0	0	200601300001	20060130000101	1056.19293697837
80	03	01	825.25798538	2				2			0	0	0	0	0	0	200601300002	20060130000201	842.870330010317
80	02	01	910.77783537	1	4	3	2				0	0	0	0	0	0	200601300005	20060130000501	922.346941536184
80	03	01	910.77783537	2				2			0	0	0	0	0	0	200601300005	20060130000501	922.346941536184
80	04	01	910.77783537	2				2			0	0	0	0	0	0	200601300005	20060130000501	922.346941536184
80	02	01	1391.2071353	2				2			0	0	0	0	0	0	200601300006	20060130000601	1390.21213673407
80	03	01	1391.2071353	2				2			0	0	0	0	0	0	200601300006	20060130000601	1390.21213673407
80	01	01	1338.5898799	1	4	5	2				0	0	98	0	0	0	200601300007	20060130000701	1344.06663995843
80	02	01	1338.5898799	2				2			0	0	0	0	0	0	200601300007	20060130000701	1344.06663995843
80	02	01	1352.1246225	2				2			0	0	0	0	0	0	200601300008	20060130000801	1360.8307680943
80	02	01	1610.4305814	1	4	3	2				0	0	0	0	0	0	200601300009	20060130000901	1609.94722306943
80	03	01	1610.4305814	2				2			0	0	0	0	0	0	200601300009	20060130000901	1609.94722306943
80	02	01	1245.1481993	2				2			0	0	0	0	0	0	200601300011	20060130001101	1254.19331086932
80	02	01	1465.2764673	1	2	4	2				0	0	0	0	0	0	200601300012	20060130001201	1467.17832248501
80	04	01	1465.2764673	2				2			0	0	0	0	0	0	200601300012	20060130001201	1467.17832248501
80	02	01	930.6380577	2				2			0	0	0	0	0	0	200601300013	20060130001301	941.862424515527
80	04	01	930.6380577	1	1	5	2				0	0	0	0	0	0	200601300013	20060130001301	941.862424515527
80	05	01	930.6380577	1	1	3	2				0	0	0	0	0	0	200601300013	20060130001301	941.862424515527
80	08	01	930.6380577	2				2			0	0	0	0	0	0	200601300013	20060130001301	941.862424515527
80	02	01	1293.3107269	2				2			0	0	0	0	0	0	200601300015	20060130001501	1294.00040707066
80	02	01	1467.140409	2				2			0	0	0	0	0	0	200601300016	20060130001601	1450.78478898692
80	03	01	1467.140409	2				2			0	0	0	0	0	0	200601300016	20060130001601	1450.78478898692
80	06	01	1467.140409	2				2			0	0	0	0	0	0	200601300016	20060130001601	1450.78478898692
80	07	01	1467.140409	2				2			0	0	0	0	0	0	200601300016	20060130001601	1450.78478898692
80	09	01	1467.140409	2				2			0	0	0	0	0	0	200601300016	20060130001601	1450.78478898692
80	02	01	1253.0700299	1	4	3	2				0	0	0	0	0	0	200601300017	20060130001701	1264.59002843257
80	02	01	1339.748064	1	4	4	2				0	0	0	0	0	0	200601300020	20060130002001	1344.09564995676
80	02	01	3757.1850339	2				2			0	0	0	0	0	0	200601300021	20060130002101	3736.7987578283
80	05	01	3757.1850339	2				2			0	0	0	0	0	0	200601300021	20060130002101	3736.7987578283
80	06	01	3757.1850339	2				2			0	0	0	0	0	0	200601300021	20060130002101	3736.7987578283
80	08	01	3757.1850339	1	1	3	2				0	0	0	0	0	0	200601300021	20060130002101	3736.7987578283
80	02	01	5078.1250089	2				2			0	0	0	0	0	0	200601300022	20060130002201	5041.5899066655
80	03	01	5078.1250089	2				2			0	0	0	0	0	0	200601300022	20060130002201	5041.5899066655
80	04	01	5078.1250089	2				2			0	0	0	0	0	0	200601300022	20060130002201	5041.5899066655
80	01	01	4308.9990648								0	0	0	0	0	0	200601300023	20060130002301	4307.28504307732
80	02	01	4308.9990648								0	0	0	0	0	0	200601300023	20060130002301	4307.28504307732
80	03	01	4308.9990648								0	0	0	0	0	0	200601300023	20060130002301	4307.28504307732
80	02	01	3756.2611832	2				2			0	0	0	0	0	0	200601300024	20060130002401	3718.01290462532
80	02	01	2615.2776858	2				2			0	0	0	0	0	0	200601300025	20060130002501	2639.21499503224
80	03	01	2615.2776858	2				2			0	0	0	0	0	0	200601300025	20060130002501	2639.21499503224
80	04	01	2615.2776858	2				2			0	0	0	0	0	0	200601300025	20060130002501	2639.21499503224
80	01	01	4205.4720444	2				2			0	0	0	0	0	0	200601300026	20060130002601	4276.23955336263
80	02	01	4205.4720444	1	4	0	2				0	0	0	98	0	0	200601300026	20060130002601	4276.23955336263
80	02	01	3913.2340688	2				2			0	0	0	0	0	0	200601300027	20060130002701	3915.32086805225
80	02	01	3486.4908495	2				2			0	0	0	0	0	0	200601300028	20060130002801	3491.72327783302
80	02	01	3844.0913503	2				2			0	0	0	0	0	0	200601300029	20060130002901	3855.96712733129
80	02	01	2964.1374339								0	0	0	0	0	0	200601300030	20060130003001	2987.63771812612
80	04	01	2964.1374339	2				2			0	0	0	0	0	0	200601300030	20060130003001	2987.63771812612
80	07	01	2964.1374339	1	2	6	2				0	0	0	0	0	0	200601300030	20060130003001	2987.63771812612
80	02	01	4130.3268279	2				2			0	0	0	0	0	0	200601300031	20060130003101	4127.9890698225
80	03	01	4130.3268279	2				2			0	0	0	0	0	0	200601300031	20060130003101	4127.9890698225
80	04	01	4130.3268279	2				2			0	0	0	0	0	0	200601300031	20060130003101	4127.9890698225
80	02	01	4199.4695464	2				2			0	0	0	0	0	0	200601300032	20060130003201	4187.34281054345
80	02	01	3564.3465017	1	4	0	2				0	0	0	0	0	0	200601300033	20060130003301	3610.58686621478
80	02	01	2755.7854275	2				2			0	0	0	0	0	0	200601300034	20060130003401	2790.79064276027
80	03	01	2755.7854275	2				2			0	0	0	0	0	0	200601300034	20060130003401	2790.79064276027
80	04	01	2755.7854275	2				2			0	0	0	0	0	0	200601300034	20060130003401	2790.79064276027
80	01	01	4690.5826451	2				2			0	0	0	0	0	0	200601300036	20060130003601	4691.91298545338
80	04	01	4690.5826451	1	1	6	2				0	0	0	0	0	0	200601300036	20060130003601	4691.91298545338
80	02	01	3791.4758068	2				2			0	0	0	0	0	0	200601300037	20060130003701	3826.3324345171
80	02	01	4183.0044026	2				2			0	0	0	0	0	0	200601300038	20060130003801	4141.61049484455
80	02	01	4053.7418106	1	4	3	2				0	0	0	0	0	0	200601300039	20060130003901	4066.89651578027
80	01	01	5113.0411562	1	4	3	2				0	0	0	396000	0	0	200601300041	20060130004101	5074.87435819786
80	02	01	5113.0411562	2				2			0	0	0	0	0	0	200601300041	20060130004101	5074.87435819786
80	06	01	5113.0411562	2				2			0	0	0	0	0	0	200601300041	20060130004101	5074.87435819786
80	08	01	5113.0411562	2				2			0	0	0	0	0	0	200601300041	20060130004101	5074.87435819786
80	02	01	5440.9455038	2				2			0	0	0	0	0	0	200601300042	20060130004201	5374.70440319892
80	04	01	5440.9455038	2				2			0	0	0	0	0	0	200601300042	20060130004201	5374.70440319892
80	05	01	5440.9455038	2				2			0	0	0	0	0	0	200601300042	20060130004201	5374.70440319892
80	06	01	5440.9455038	2				2			0	0	0	0	0	0	200601300042	20060130004201	5374.70440319892
80	01	01	3617.55592								0	0	0	98	0	0	200601300044	20060130004401	3617.778793259
80	03	01	4085.0577299	2				2			0	0	0	0	0	0	200601300045	20060130004501	4075.73734213041
80	04	01	4085.0577299	2				2			0	0	0	0	0	0	200601300045	20060130004501	4075.73734213041
80	02	01	2584.9559095	1	4	3	2				0	0	0	0	0	0	200601300046	20060130004601	2601.61850658916
80	03	01	2584.9559095	2				2			0	0	0	0	0	0	200601300046	20060130004601	2601.61850658916
80	02	01	3140.1358599	2				2			0	0	0	0	0	0	200601300047	20060130004701	3169.00444625262
80	02	01	1752.8552348	2				2			0	0	0	0	0	0	200601300048	20060130004801	1786.76668841541
80	02	01	3498.4867535	2				2			0	0	0	0	0	0	200601300050	20060130005001	3540.8952629194
80	04	01	3498.4867535	2				2			0	0	0	0	0	0	200601300050	20060130005001	3540.8952629194
