Reg	Orden	Hogar	Fex_c	P34	P35a	P35b	P36_1	P36_2	P36a	Llave_viv	Llave_hog	Fex_c_2011
61	03	01	1026.3122078	48	2		2		000	200601300001	20060130000101	1056.19293697837
61	04	01	1026.3122078	48	2		2		009	200601300001	20060130000101	1056.19293697837
61	06	01	1026.3122078	60	2		2		036	200601300001	20060130000101	1056.19293697837
61	02	01	825.25798538	48	2		2		006	200601300002	20060130000201	842.870330010317
61	01	01	1245.1481993	48	2		2		024	200601300003	20060130000301	1254.19331086932
61	02	01	1245.1481993	48	2		2		060	200601300003	20060130000301	1254.19331086932
61	01	01	1339.748064	36	2		2		060	200601300004	20060130000401	1344.09564995676
61	01	01	910.77783537	50	2		2		003	200601300005	20060130000501	922.346941536184
61	01	01	1391.2071353	48	2		2		156	200601300006	20060130000601	1390.21213673407
61	03	01	1338.5898799	54	2		2		144	200601300007	20060130000701	1344.06663995843
61	01	01	1352.1246225	48	2		2		036	200601300008	20060130000801	1360.8307680943
61	01	01	1610.4305814	48	2		2		004	200601300009	20060130000901	1609.94722306943
61	01	01	743.59265342	50	2		2		048	200601300010	20060130001001	756.423756869617
61	02	01	743.59265342	45	2		2		096	200601300010	20060130001001	756.423756869617
61	03	01	743.59265342	12	2		2		006	200601300010	20060130001001	756.423756869617
61	04	01	743.59265342	48	2		2		024	200601300010	20060130001001	756.423756869617
61	05	01	743.59265342	24	2		2		024	200601300010	20060130001001	756.423756869617
61	01	01	1245.1481993	36	2		2		360	200601300011	20060130001101	1254.19331086932
61	01	01	1465.2764673	20	2		2		000	200601300012	20060130001201	1467.17832248501
61	03	01	1465.2764673	48	2		2		001	200601300012	20060130001201	1467.17832248501
61	01	01	930.6380577	54	2		2		360	200601300013	20060130001301	941.862424515527
61	10	01	930.6380577	9	2		2		012	200601300013	20060130001301	941.862424515527
61	01	01	952.18125193	54	1	54	2		204	200601300014	20060130001401	958.408368956514
61	02	01	952.18125193	54	2		2		060	200601300014	20060130001401	958.408368956514
