Reg	Orden	Hogar	Fex_c	P24	P26	P27	P26n	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor31a	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	03	01	1026.3122078	39	64	1	6421	1	2	99	430000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300001	20060130000101	1056.19293697837
60	04	01	1026.3122078	58	70	1	7020	1	2	12	480000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300001	20060130000101	1056.19293697837
60	06	01	1026.3122078	58	74	1	7492	1	2	99	98	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300001	20060130000101	1056.19293697837
60	02	01	825.25798538	37	17	1	1720	1	2	04	408000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300002	20060130000201	842.870330010317
60	01	01	1245.1481993	62	80	1	8042	1	1		408000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300003	20060130000301	1254.19331086932
60	02	01	1245.1481993	32	71	1	7129	1	1		500000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300003	20060130000301	1254.19331086932
60	01	01	1339.748064	98	60	1	6041	2			408000	2		2		2		2				0	0	0	0	0	9			2		200601300004	20060130000401	1344.09564995676
60	01	01	910.77783537	98	60	1	6031	2			500000	2		2		2		2				0	0	0	0	0	1	1	1	2		200601300005	20060130000501	922.346941536184
60	01	01	1391.2071353	45	52	1	5219	2			540000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300006	20060130000601	1390.21213673407
60	03	01	1338.5898799	98	60	1	6041	2			98	2		2		2		2				0	0	0	0	0	1	2		2		200601300007	20060130000701	1344.06663995843
60	01	01	1352.1246225	45	50	1	5040	1	1		452000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300008	20060130000801	1360.8307680943
60	01	01	1610.4305814	98	99	1	9900	9			500000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300009	20060130000901	1609.94722306943
60	01	01	743.59265342	33	65	2	6512	1	2	06	750000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300010	20060130001001	756.423756869617
60	02	01	743.59265342	33	85	2	8511	1	1		980000	2		2		2		2				0	416000	0	0	0	1	1	1	1	1	200601300010	20060130001001	756.423756869617
60	03	01	743.59265342	59	92	5	9241													98	98	0	0	0	0	0	1	1	4	1	3	200601300010	20060130001001	756.423756869617
60	04	01	743.59265342	33	74	1	7499	1	1		430000	2		2		2		2				0	0	0	0	0	1	1	1	1	1	200601300010	20060130001001	756.423756869617
60	05	01	743.59265342	18	92	5	9241													98	480000	0	0	0	0	0	1	1	4	1	3	200601300010	20060130001001	756.423756869617
60	01	01	1245.1481993	61	01	5	0113													98	408000	0	0	0	0	0	1	1	4	1	3	200601300011	20060130001101	1254.19331086932
