Reg	Orden	Hogar	Area	Fex_c	P3	P4	P5	P6	P7	P8	Pn8a	Pn8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	01	01	05	740.93691103	01	1	57	3	1	2	2	01		611	6	11	200601100001	20060110000101	740.747611135134
10	01	01	05	838.55187765	01	1	49	5	1	2	2	01		611	6	11	200601100002	20060110000201	839.545291451793
10	02	01	05	838.55187765	08	2	52	4	1	2	2	01		611	6	11	200601100002	20060110000201	839.545291451793
10	03	01	05	838.55187765	08	2	62	5	1	2	2	07		305	3	5	200601100002	20060110000201	839.545291451793
10	04	01	05	838.55187765	08	2	47	5	1	2	2	07		303	3	3	200601100002	20060110000201	839.545291451793
10	01	01	05	807.83071829	01	1	47	1	1	2	2	01		406	4	6	200601100003	20060110000301	810.465036241827
10	02	01	05	807.83071829	02	2	49	1	1	2	2	07		407	4	7	200601100003	20060110000301	810.465036241827
10	03	01	05	807.83071829	03	1	19	5	1	2	2	01		611	6	11	200601100003	20060110000301	810.465036241827
10	04	01	05	807.83071829	03	1	17	5	1	1			1	408	4	8	200601100003	20060110000301	810.465036241827
10	01	01	05	742.48742673	01	1	50	2	1	2	2	01		406	4	6	200601100004	20060110000401	743.271299483587
10	02	01	05	742.48742673	02	2	54	2	1	2	2	07		305	3	5	200601100004	20060110000401	743.271299483587
10	03	01	05	742.48742673	03	2	21	5	1	2	2	01		503	5	3	200601100004	20060110000401	743.271299483587
10	01	01	05	844.95866554	01	2	83	3	1	2	2	11		303	3	3	200601100005	20060110000501	845.395737818504
10	02	01	05	844.95866554	03	1	58	5	1	2	2	11		303	3	3	200601100005	20060110000501	845.395737818504
10	03	01	05	844.95866554	03	1	43	5	2	2	2	11		100	1	0	200601100005	20060110000501	845.395737818504
10	01	01	05	699.30467514	01	1	16	5	1	1			1	500	5	0	200601100006	20060110000601	700.431815003103
10	01	01	05	760.0682691	01	1	50	2	1	2	2	01		503	5	3	200601100007	20060110000701	760.29421777679
10	02	01	05	760.0682691	02	2	44	2	1	2	2	07		611	6	11	200601100007	20060110000701	760.29421777679
10	03	01	05	760.0682691	03	1	14	5	1	1			1	408	4	8	200601100007	20060110000701	760.29421777679
10	04	01	05	760.0682691	03	1	10	5	1	1			1	400	4	0	200601100007	20060110000701	760.29421777679
10	01	01	05	713.6827837	01	2	48	4	1	2	2	01		611	6	11	200601100008	20060110000801	714.996019872052
10	02	01	05	713.6827837	03	1	24	5	1	2	2	01		611	6	11	200601100008	20060110000801	714.996019872052
10	01	01	05	807.83071829	01	1	46	2	1	2	2	01		611	6	11	200601100009	20060110000901	810.465036241827
10	02	01	05	807.83071829	02	2	40	2	1	2	2	07		611	6	11	200601100009	20060110000901	810.465036241827
10	03	01	05	807.83071829	03	1	16	5	1	1			1	500	5	0	200601100009	20060110000901	810.465036241827
10	04	01	05	807.83071829	03	1	12	5	1	1			2	406	4	6	200601100009	20060110000901	810.465036241827
