Reg	Orden	Hogar	Area	Fex_c	Rama4d	P49	P50	P51	P52	P52na	P53	P54	P55	P56	P57	P57na	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Dsi	Llave_viv	Llave_hog	Fex_c_2011
70	02	01	05	838.55187765	1551	156	48	32	1	01	2	156	32	15	1	8	0	0	0	0	0	0	1	200601100002	20060110000201	839.545291451793
70	03	01	05	579.12169163		21	48	45	1	01	1						0	0	0	0	0	0	1	200601100013	20060110001301	579.37609308812
70	06	01	05	579.12169163	1810	52	48	79	1	01	2	4	79	18	1	1	400000	0	0	0	0	0	1	200601100013	20060110001301	579.37609308812
70	01	01	05	627.49215271		156	48	53	1	07	1						0	0	0	3600000	0	0	1	200601100015	20060110001501	627.901138217442
70	01	01	05	695.990997	3611	3	48	93	1	06	2	4	93	36	1	7	720000	0	0	0	0	0	1	200601100018	20060110001801	695.643872271632
70	05	01	05	539.34352909	1810	4	48	79	1	01	2	3	79	18	1	8	426000	0	0	0	0	0	1	200601100021	20060110002101	540.378778893809
70	03	01	05	755.20407524	3611	17	48	81	1	01	2	104	81	36	1	0	0	0	0	0	0	0	1	200601100030	20060110003001	752.982586696866
70	03	01	05	748.84578871	0111	104	48	03	1	07	2	2	62	01	1	8	98	0	0	0	0	0	1	200601100031	20060110003101	749.974875976661
70	03	01	05	767.80351943	4552	2	48	93	1	09	2	2	93	45	4	8	60000	0	0	0	0	0	1	200601100032	20060110003201	768.174549057293
70	03	01	05	603.75981876	1810	52	48	79	1	02	2	52	79	18	1	6	0	0	0	0	0	0	1	200601100033	20060110003301	600.511042093384
70	01	01	05	504.91522227	5521	52	48	53	1	01	2	52	53	55	1	8	0	0	0	0	0	0	1	200601100034	20060110003401	502.722577479303
70	02	01	05	504.91522227	1810	78	48	53	1	14	2	104	79	18	1	8	0	0	0	0	0	0	1	200601100034	20060110003401	502.722577479303
70	03	01	05	504.91522227	1810	47	48	79	1	13	2	104	97	18	1	8	0	0	0	0	0	0	1	200601100034	20060110003401	502.722577479303
70	02	01	05	677.06017389	1810	52	48	79	1	01	2	52	79	18	1	8	0	0	0	0	0	0	1	200601100036	20060110003601	676.547702973692
