Reg	Orden	Hogar	Area	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	01	01	05	740.93691103	1	1												200601100001	20060110000101	740.747611135134
50	01	01	05	838.55187765	2	1												200601100002	20060110000201	839.545291451793
50	02	01	05	838.55187765	2	2	2	2	2	1							1	200601100002	20060110000201	839.545291451793
50	03	01	05	838.55187765	2	4	2	2	2	2	2							200601100002	20060110000201	839.545291451793
50	04	01	05	838.55187765	2	6												200601100002	20060110000201	839.545291451793
50	01	01	05	807.83071829	3	1												200601100003	20060110000301	810.465036241827
50	02	01	05	807.83071829	3	4	2	2	2	2	2							200601100003	20060110000301	810.465036241827
50	03	01	05	807.83071829	3	1												200601100003	20060110000301	810.465036241827
50	04	01	05	807.83071829	3	3	2	2	2	2	2							200601100003	20060110000301	810.465036241827
50	01	01	05	742.48742673	1	1												200601100004	20060110000401	743.271299483587
50	02	01	05	742.48742673	1	4	2	2	2	2	2							200601100004	20060110000401	743.271299483587
50	03	01	05	742.48742673	1	1												200601100004	20060110000401	743.271299483587
50	01	01	05	844.95866554	1	1												200601100005	20060110000501	845.395737818504
50	02	01	05	844.95866554	2	5	2	2	1									200601100005	20060110000501	845.395737818504
50	03	01	05	844.95866554	2	6												200601100005	20060110000501	845.395737818504
50	01	01	05	699.30467514	1	3	2	2	2	2	2							200601100006	20060110000601	700.431815003103
50	01	01	05	760.0682691	2	1												200601100007	20060110000701	760.29421777679
50	02	01	05	760.0682691	2	4	2	2	2	2	2							200601100007	20060110000701	760.29421777679
50	03	01	05	760.0682691	2	3	2	2	2	2	2							200601100007	20060110000701	760.29421777679
50	01	01	05	713.6827837	2	1												200601100008	20060110000801	714.996019872052
50	02	01	05	713.6827837	2	1												200601100008	20060110000801	714.996019872052
50	01	01	05	807.83071829	2	1												200601100009	20060110000901	810.465036241827
50	02	01	05	807.83071829	2	4	1											200601100009	20060110000901	810.465036241827
50	03	01	05	807.83071829	2	3	2	2	2	2	2							200601100009	20060110000901	810.465036241827
50	04	01	05	807.83071829	2	3	2	2	2	2	2							200601100009	20060110000901	810.465036241827
50	01	01	05	807.83071829	1	1												200601100010	20060110001001	810.465036241827
50	02	01	05	807.83071829	1	1												200601100010	20060110001001	810.465036241827
50	03	01	05	807.83071829	1	5	2	2	2	2	1	15						200601100010	20060110001001	810.465036241827
50	04	01	05	807.83071829	1	3	2	2	2	2	2							200601100010	20060110001001	810.465036241827
50	01	01	05	673.65558484	1	1												200601100011	20060110001101	672.705532687518
50	01	01	05	665.80939017	1	1												200601100012	20060110001201	662.495972099798
50	02	01	05	665.80939017	1	1												200601100012	20060110001201	662.495972099798
50	01	01	05	579.12169163	1	5	2	1										200601100013	20060110001301	579.37609308812
50	02	01	05	579.12169163	1	5	2	1										200601100013	20060110001301	579.37609308812
50	03	01	05	579.12169163	1	4	2	2	2	1							1	200601100013	20060110001301	579.37609308812
50	05	01	05	579.12169163	1	5	2	1										200601100013	20060110001301	579.37609308812
50	06	01	05	579.12169163	1	4	2	2	2	1							1	200601100013	20060110001301	579.37609308812
50	07	01	05	579.12169163	1	3	2	2	2	2	2							200601100013	20060110001301	579.37609308812
50	01	01	05	619.42390477	1	5	2	1										200601100014	20060110001401	617.19777419506
50	01	01	05	627.49215271	1	4	2	2	2	2	1	05	2		1	02	1	200601100015	20060110001501	627.901138217442
50	01	01	05	775.71239711	2	1												200601100016	20060110001601	777.40181389882
50	02	01	05	775.71239711	2	5	1											200601100016	20060110001601	777.40181389882
50	03	01	05	775.71239711	2	1												200601100016	20060110001601	777.40181389882
50	04	01	05	775.71239711	2	4	1											200601100016	20060110001601	777.40181389882
50	06	01	05	775.71239711	2	1												200601100016	20060110001601	777.40181389882
50	01	01	05	758.6086643	1	5	2	2	2	2	2							200601100017	20060110001701	756.82475698304
50	02	01	05	758.6086643	1	4	2	2	2	2	2							200601100017	20060110001701	756.82475698304
50	01	02	05	758.6086643	2	1												200601100017	20060110001702	756.82475698304
50	02	02	05	758.6086643	2	1												200601100017	20060110001702	756.82475698304
50	01	01	05	695.990997	1	5	2	2	2	1							1	200601100018	20060110001801	695.643872271632
50	02	01	05	695.990997	1	4	2	2	2	2	2							200601100018	20060110001801	695.643872271632
50	03	01	05	695.990997	1	3	2	2	2	2	2							200601100018	20060110001801	695.643872271632
50	01	01	05	708.81858985	2	1												200601100019	20060110001901	707.684388792127
50	02	01	05	708.81858985	2	4	2	2	2	2	2							200601100019	20060110001901	707.684388792127
50	01	01	05	627.55483572	2	1												200601100020	20060110002001	626.918842471249
50	02	01	05	627.55483572	2	5	1											200601100020	20060110002001	626.918842471249
50	03	01	05	627.55483572	2	5	2	2	2	2	2							200601100020	20060110002001	626.918842471249
50	04	01	05	627.55483572	2	4	2	2	2	2	1	13						200601100020	20060110002001	626.918842471249
50	01	01	05	539.34352909	1	4	2	2	2	2	1	03	1	2				200601100021	20060110002101	540.378778893809
50	02	01	05	539.34352909	1	5	2	2	2	2	1	03	1	2				200601100021	20060110002101	540.378778893809
50	04	01	05	539.34352909	1	4	2	2	2	2	2							200601100021	20060110002101	540.378778893809
50	05	01	05	539.34352909	5	4	2	2	2	1							1	200601100021	20060110002101	540.378778893809
50	07	01	05	539.34352909	1	5	2	1										200601100021	20060110002101	540.378778893809
50	01	01	05	533.40690113	2	1												200601100022	20060110002201	531.449826101474
50	02	01	05	533.40690113	2	1												200601100022	20060110002201	531.449826101474
50	01	01	05	902.40865679	1	4	2	2	2	2	2							200601100023	20060110002301	904.16606363359
50	02	01	05	902.40865679	1	1												200601100023	20060110002301	904.16606363359
50	03	01	05	902.40865679	1	5	2	2	2	2	2							200601100023	20060110002301	904.16606363359
50	04	01	05	902.40865679	1	4	2	2	2	2	2							200601100023	20060110002301	904.16606363359
50	01	02	05	902.40865679	1	1												200601100023	20060110002302	904.16606363359
50	02	02	05	902.40865679	1	4	2	2	2	2	1	12						200601100023	20060110002302	904.16606363359
50	03	02	05	902.40865679	1	3	2	2	2	2	2							200601100023	20060110002302	904.16606363359
50	01	01	05	688.25574666	2	1												200601100024	20060110002401	687.763540991129
50	02	01	05	688.25574666	2	4	2	2	2	2	2							200601100024	20060110002401	687.763540991129
50	03	01	05	688.25574666	2	3	2	2	2	2	2							200601100024	20060110002401	687.763540991129
50	01	01	05	491.89186958	2	1												200601100025	20060110002501	485.653354822294
50	02	01	05	491.89186958	2	4	2	2	2	2	2							200601100025	20060110002501	485.653354822294
50	01	01	05	628.93179952	1	4	2	2	2	2	2							200601100026	20060110002601	631.791463031547
