Reg	Orden	Hogar	Area	Fex_c	Oci	P37	P37na	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	01	01	05	740.93691103	1	2				2					2												200601100001	20060110000101	740.747611135134
62	01	01	05	838.55187765	1	2				2					1		1	1							1	1	200601100002	20060110000201	839.545291451793
62	01	01	05	807.83071829	1	2				2					2												200601100003	20060110000301	810.465036241827
62	03	01	05	807.83071829	1	2				2					2												200601100003	20060110000301	810.465036241827
62	01	01	05	742.48742673	1	2				2					2												200601100004	20060110000401	743.271299483587
62	03	01	05	742.48742673	1	2				2					2												200601100004	20060110000401	743.271299483587
62	01	01	05	844.95866554	1	2				2					2												200601100005	20060110000501	845.395737818504
62	02	01	05	844.95866554	1	2				2					2												200601100005	20060110000501	845.395737818504
62	01	01	05	760.0682691	1	2				2					2												200601100007	20060110000701	760.29421777679
62	01	01	05	713.6827837	1	2				2					2												200601100008	20060110000801	714.996019872052
62	02	01	05	713.6827837	1	2				2					2												200601100008	20060110000801	714.996019872052
62	01	01	05	807.83071829	1	2				2					2												200601100009	20060110000901	810.465036241827
62	02	01	05	807.83071829	1	2				2					2												200601100009	20060110000901	810.465036241827
62	01	01	05	807.83071829	1	2				2					2												200601100010	20060110001001	810.465036241827
62	02	01	05	807.83071829	1	2				2					2												200601100010	20060110001001	810.465036241827
62	01	01	05	673.65558484	1	2				2					2												200601100011	20060110001101	672.705532687518
62	01	01	05	665.80939017	1	2				2					2												200601100012	20060110001201	662.495972099798
62	02	01	05	665.80939017	1	2				2					2												200601100012	20060110001201	662.495972099798
62	01	01	05	579.12169163	1	2				2					1				1						1	1	200601100013	20060110001301	579.37609308812
62	02	01	05	579.12169163	1	2				2					1		1		1						1	1	200601100013	20060110001301	579.37609308812
62	05	01	05	579.12169163	1	2				2					1		1		1						2	1	200601100013	20060110001301	579.37609308812
62	01	01	05	619.42390477	1	2				2					2												200601100014	20060110001401	617.19777419506
62	01	01	05	775.71239711	1	2				2					1		1					1			2	1	200601100016	20060110001601	777.40181389882
62	02	01	05	775.71239711	1	2				1	20	2	1	1			1								2	1	200601100016	20060110001601	777.40181389882
62	03	01	05	775.71239711	1	2				2					2												200601100016	20060110001601	777.40181389882
62	04	01	05	775.71239711	1	2				1	15	2	1	1		1	1								2	1	200601100016	20060110001601	777.40181389882
62	06	01	05	775.71239711	1	2				2					1	1	1					1			1	1	200601100016	20060110001601	777.40181389882
62	01	02	05	758.6086643	1	2				2					2												200601100017	20060110001702	756.82475698304
62	02	02	05	758.6086643	1	2				2					2												200601100017	20060110001702	756.82475698304
62	01	01	05	708.81858985	1	2				2					2												200601100019	20060110001901	707.684388792127
62	01	01	05	627.55483572	1	2				1	10	2	1	1			1					1			2	1	200601100020	20060110002001	626.918842471249
62	02	01	05	627.55483572	1	2				1	40	1	1	1			1								1	1	200601100020	20060110002001	626.918842471249
62	07	01	05	539.34352909	1	2				2					2												200601100021	20060110002101	540.378778893809
62	01	01	05	533.40690113	1	2				2					2												200601100022	20060110002201	531.449826101474
62	02	01	05	533.40690113	1	2				2					2												200601100022	20060110002201	531.449826101474
62	02	01	05	902.40865679	1	2				2					2												200601100023	20060110002301	904.16606363359
62	01	02	05	902.40865679	1	2				2					2												200601100023	20060110002302	904.16606363359
62	01	01	05	688.25574666	1	2				2					2												200601100024	20060110002401	687.763540991129
62	01	01	05	491.89186958	1	2				2					2												200601100025	20060110002501	485.653354822294
62	02	01	05	628.93179952	1	2				2					1		1								2	1	200601100026	20060110002601	631.791463031547
62	01	01	05	721.30708969	1	2				2					2												200601100027	20060110002701	720.547121845338
62	02	01	05	721.30708969	1	2				1	40	2	1	2													200601100027	20060110002701	720.547121845338
62	01	01	05	611.8280667	1	2				2					1		1								2	1	200601100028	20060110002801	611.214406115766
62	01	01	05	713.57183936	1	2				2					2												200601100029	20060110002901	712.666790564835
62	02	01	05	755.20407524	1	2				2					2												200601100030	20060110003001	752.982586696866
62	01	01	05	748.84578871	1	2				2					2												200601100031	20060110003101	749.974875976661
62	02	01	05	748.84578871	1	2				2					2												200601100031	20060110003101	749.974875976661
62	01	01	05	767.80351943	1	2				2					2												200601100032	20060110003201	768.174549057293
62	02	01	05	767.80351943	1	2				2					1		1					1			1	1	200601100032	20060110003201	768.174549057293
62	01	01	05	603.75981876	1	2				2					1								1		1	1	200601100033	20060110003301	600.511042093384
62	04	01	05	504.91522227	1	2				2					1		1								1	1	200601100034	20060110003401	502.722577479303
62	01	01	05	627.38120837	1	2				2					2												200601100035	20060110003501	625.571908910224
62	01	01	05	814.29994916	1	2				2					2												200601100037	20060110003701	815.801976269249
62	02	01	05	814.29994916	1	2				2					2												200601100037	20060110003701	815.801976269249
62	03	01	05	814.29994916	1	2				2					2												200601100037	20060110003701	815.801976269249
62	01	01	05	666.05974677	1	2				2					2												200601100038	20060110003801	666.722164608224
62	02	01	05	666.05974677	1	2				2					2												200601100038	20060110003801	666.722164608224
62	03	01	05	666.05974677	1	2				2					1		1								1	1	200601100038	20060110003801	666.722164608224
62	01	01	05	712.30581991	1	2				2					2												200601100039	20060110003901	710.123399311754
62	02	01	05	712.30581991	1	2				2					2												200601100039	20060110003901	710.123399311754
62	01	01	05	820.76918004	1	2				2					2												200601100040	20060110004001	821.13891629667
