Reg	Orden	Hogar	Area	Fex_c	P24	P26	P27	P27na	P27nba	P27nbb	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Rama4d	Oci	Llave_viv	Llave_hog	Fex_c_2011
60	01	01	05	740.93691103	70	18	1	1	1		1500000	1	150000	2		2		2			0	0	0	0	0	1	1	1	1	1	1810	1	200601100001	20060110000101	740.747611135134
60	01	01	05	838.55187765	57	93	4													408000	0	0	0	0	0	1	1	4	1	3	9302	1	200601100002	20060110000201	839.545291451793
60	01	01	05	807.83071829	83	28	4													0	0	0	0	0	0	1	1	4	1	3	2811	1	200601100003	20060110000301	810.465036241827
60	03	01	05	807.83071829	75	17	1	1	1		382000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	1730	1	200601100003	20060110000301	810.465036241827
60	01	01	05	742.48742673	98	52	1	1	1		500000	2		2		2		2			0	0	0	0	0	1	1	4	1	3	5219	1	200601100004	20060110000401	743.271299483587
60	03	01	05	742.48742673	40	52	1	1	1		700000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	5233	1	200601100004	20060110000401	743.271299483587
60	01	01	05	844.95866554	41	52	4													50000	0	450000	0	0	0	1	1	3	3		5211	1	200601100005	20060110000501	845.395737818504
60	02	01	05	844.95866554	45	52	6														0	382000	0	0	0	1	1	3	3		5211	1	200601100005	20060110000501	845.395737818504
60	01	01	05	760.0682691	98	40	1	1	1		580000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	4010	1	200601100007	20060110000701	760.29421777679
60	01	01	05	713.6827837	76	19	1	1	1		600000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	1931	1	200601100008	20060110000801	714.996019872052
60	02	01	05	713.6827837	34	18	1	1	2	12	500000	1	180000	2		2		2			0	0	0	0	0	1	1	1	1	1	1810	1	200601100008	20060110000801	714.996019872052
60	01	01	05	807.83071829	98	60	4													600000	0	0	0	0	0	1	1	4	1	3	6031	1	200601100009	20060110000901	810.465036241827
60	02	01	05	807.83071829	42	52	4													50000	0	0	0	0	0	1	1	5	2		5261	1	200601100009	20060110000901	810.465036241827
60	01	01	05	807.83071829	58	74	1	1	2	12	426500	2		2		2		2			0	0	0	0	0	1	1	1	1	1	7492	1	200601100010	20060110001001	810.465036241827
