Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,20971572,20368429,19681392,19548314,23392875,22588453,22266608,21445293
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,01 Aguascalientes,123841,107450,111184,95899,149252,126720,118307,126383
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,02 Baja California,511974,485449,416850,432888,587144,555580,531774,505263
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,03 Baja California Sur,89421,94888,90030,79905,105675,102404,99156,88264
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,04 Campeche,190181,184396,173837,171460,208555,193418,189146,181798
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,385742,366646,325324,338865,442104,436261,410037,434635
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,06 Colima,95278,91569,88788,79550,103391,97868,93847,85838
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,07 Chiapas,1232776,1215709,1196362,1177214,1363706,1335922,1284959,1302286
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,08 Chihuahua,550311,547175,508252,496134,662499,611231,564516,568947
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,09 Ciudad de México,1699096,1629344,1629059,1515574,1728293,1678983,1730100,1603046
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,10 Durango,301178,279924,273075,279200,348820,333541,332642,314503
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,11 Guanajuato,925151,822610,840398,868730,1033184,1088238,1062859,1082582
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,12 Guerrero,652060,623237,639759,614941,707881,604949,562207,623720
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,13 Hidalgo,627326,617795,664878,602334,655334,701143,648970,626448
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,14 Jalisco,915114,829146,737059,693088,927918,942761,935253,756739
